timestamp_unix,timestamp_iso,time_offset,timezone_location,mobile_platform,mobile_platform_version,mobile_app,mobile_app_version,algo_version,embrace_fw_version,rest_algo_version
1672925046481,2023-01-05T13:24:06Z,,,ios,,healthmonitor,5.6.8,7.4.1,,v1.3.0
1672925046492,2023-01-05T13:24:06Z,3600,Europe/Amsterdam,,,,,,,
1674632675301,2023-01-25T07:44:35Z,,,ios,,com.empatica.healthmonitor.lab,5.6.9,7.4.1,,
1675443582752,2023-02-03T16:59:42Z,,,,,,,,,v1.3.1
1679915492336,2023-03-27T11:11:32Z,7200,Europe/Amsterdam,,,,,,,
1683883229927,2023-05-12T09:20:29Z,,,ios,,com.empatica.healthmonitor.lab,5.15.5,8.4.0,,
1684853082626,2023-05-23T14:44:42Z,,,,,,,,,v1.3.2
1689866164464,2023-07-20T15:16:04Z,,,,,,,,,v1.3.3
1695129053042,2023-09-19T13:10:53Z,,,ios,,com.empatica.healthmonitor.lab,5.20.4,8.8.2,,
1695129328021,2023-09-19T13:15:28Z,,,,,,,,4.14.4,
1695129499681,2023-09-19T13:18:19Z,,,,,,,,4.19.2,
1696063887407,2023-09-30T08:51:27Z,,,ios,,com.empatica.healthmonitor.lab,5.23.1,8.8.2,,
1697376648489,2023-10-15T13:30:48Z,,,ios,,com.empatica.healthmonitor.lab,5.23.2,8.8.2,,
1698051457048,2023-10-23T08:57:37Z,,,,,,,,4.19.2,
1698339776250,2023-10-26T17:02:56Z,,,,,,,,4.19.5,
1698562482716,2023-10-29T06:54:42Z,3600,Europe/Amsterdam,,,,,,,
1698746419683,2023-10-31T10:00:19Z,,,ios,,com.empatica.healthmonitor.lab,5.23.3,8.8.2,,
1701177707700,2023-11-28T13:21:47Z,,,ios,,com.empatica.healthmonitor.lab,5.26.2,8.12.3,,
1701177921649,2023-11-28T13:25:21Z,,,,,,,,4.23.3,
1707415432474,2024-02-08T18:03:52Z,,,,,,,,4.24.3,
1707464757186,2024-02-09T07:45:57Z,,,ios,,com.empatica.healthmonitor.lab,5.30.1,9.0.2,,
1710833371722,2024-03-19T07:29:31Z,,,ios,,com.empatica.healthmonitor.lab,5.30.2,9.0.2,,
1712039031415,2024-04-02T06:23:51Z,7200,Europe/Amsterdam,,,,,,,
