timestamp_unix,timestamp_iso,participant_full_id,temperature_celsius,missing_value_reason
1673136000000,2023-01-08T00:00:00Z,101-1-1-0004,32.89,
1673136060000,2023-01-08T00:01:00Z,101-1-1-0004,32.91,
1673136120000,2023-01-08T00:02:00Z,101-1-1-0004,33.0,
1673136180000,2023-01-08T00:03:00Z,101-1-1-0004,33.03,
1673136240000,2023-01-08T00:04:00Z,101-1-1-0004,33.0,
1673136300000,2023-01-08T00:05:00Z,101-1-1-0004,33.01,
1673136360000,2023-01-08T00:06:00Z,101-1-1-0004,33.0,
1673136420000,2023-01-08T00:07:00Z,101-1-1-0004,32.98,
1673136480000,2023-01-08T00:08:00Z,101-1-1-0004,32.95,
1673136540000,2023-01-08T00:09:00Z,101-1-1-0004,32.93,
1673136600000,2023-01-08T00:10:00Z,101-1-1-0004,32.94,
1673136660000,2023-01-08T00:11:00Z,101-1-1-0004,33.09,
1673136720000,2023-01-08T00:12:00Z,101-1-1-0004,32.84,
1673136780000,2023-01-08T00:13:00Z,101-1-1-0004,32.84,
1673136840000,2023-01-08T00:14:00Z,101-1-1-0004,32.82,
1673136900000,2023-01-08T00:15:00Z,101-1-1-0004,32.77,
1673136960000,2023-01-08T00:16:00Z,101-1-1-0004,32.73,
1673137020000,2023-01-08T00:17:00Z,101-1-1-0004,32.73,
1673137080000,2023-01-08T00:18:00Z,101-1-1-0004,32.72,
1673137140000,2023-01-08T00:19:00Z,101-1-1-0004,32.71,
1673137200000,2023-01-08T00:20:00Z,101-1-1-0004,32.73,
1673137260000,2023-01-08T00:21:00Z,101-1-1-0004,32.73,
1673137320000,2023-01-08T00:22:00Z,101-1-1-0004,32.73,
1673137380000,2023-01-08T00:23:00Z,101-1-1-0004,32.71,
1673137440000,2023-01-08T00:24:00Z,101-1-1-0004,32.71,
1673137500000,2023-01-08T00:25:00Z,101-1-1-0004,32.74,
1673137560000,2023-01-08T00:26:00Z,101-1-1-0004,32.75,
1673137620000,2023-01-08T00:27:00Z,101-1-1-0004,32.74,
1673137680000,2023-01-08T00:28:00Z,101-1-1-0004,32.7,
1673137740000,2023-01-08T00:29:00Z,101-1-1-0004,32.63,
1673137800000,2023-01-08T00:30:00Z,101-1-1-0004,32.6,
1673137860000,2023-01-08T00:31:00Z,101-1-1-0004,32.54,
1673137920000,2023-01-08T00:32:00Z,101-1-1-0004,32.48,
1673137980000,2023-01-08T00:33:00Z,101-1-1-0004,32.35,
1673138040000,2023-01-08T00:34:00Z,101-1-1-0004,32.19,
1673138100000,2023-01-08T00:35:00Z,101-1-1-0004,31.95,
1673138160000,2023-01-08T00:36:00Z,101-1-1-0004,31.69,
1673138220000,2023-01-08T00:37:00Z,101-1-1-0004,31.41,
1673138280000,2023-01-08T00:38:00Z,101-1-1-0004,31.14,
1673138340000,2023-01-08T00:39:00Z,101-1-1-0004,30.85,
1673138400000,2023-01-08T00:40:00Z,101-1-1-0004,30.65,
1673138460000,2023-01-08T00:41:00Z,101-1-1-0004,30.5,
1673138520000,2023-01-08T00:42:00Z,101-1-1-0004,30.37,
1673138580000,2023-01-08T00:43:00Z,101-1-1-0004,30.41,
1673138640000,2023-01-08T00:44:00Z,101-1-1-0004,30.45,
1673138700000,2023-01-08T00:45:00Z,101-1-1-0004,30.52,
1673138760000,2023-01-08T00:46:00Z,101-1-1-0004,30.66,
1673138820000,2023-01-08T00:47:00Z,101-1-1-0004,30.69,
1673138880000,2023-01-08T00:48:00Z,101-1-1-0004,30.67,
1673138940000,2023-01-08T00:49:00Z,101-1-1-0004,30.87,
1673139000000,2023-01-08T00:50:00Z,101-1-1-0004,31.1,
1673139060000,2023-01-08T00:51:00Z,101-1-1-0004,31.21,
1673139120000,2023-01-08T00:52:00Z,101-1-1-0004,31.33,
1673139180000,2023-01-08T00:53:00Z,101-1-1-0004,31.39,
1673139240000,2023-01-08T00:54:00Z,101-1-1-0004,31.52,
1673139300000,2023-01-08T00:55:00Z,101-1-1-0004,31.55,
1673139360000,2023-01-08T00:56:00Z,101-1-1-0004,31.55,
1673139420000,2023-01-08T00:57:00Z,101-1-1-0004,31.65,
