timestamp_unix,timestamp_iso,participant_full_id,activity_class,missing_value_reason
1716940800000,2024-05-29T00:00:00Z,101-1-1-0005,still,
1716940860000,2024-05-29T00:01:00Z,101-1-1-0005,still,
1716940920000,2024-05-29T00:02:00Z,101-1-1-0005,still,
1716940980000,2024-05-29T00:03:00Z,101-1-1-0005,still,
1716941040000,2024-05-29T00:04:00Z,101-1-1-0005,still,
1716941100000,2024-05-29T00:05:00Z,101-1-1-0005,still,
1716941160000,2024-05-29T00:06:00Z,101-1-1-0005,still,
1716941220000,2024-05-29T00:07:00Z,101-1-1-0005,still,
1716941280000,2024-05-29T00:08:00Z,101-1-1-0005,still,
1716941340000,2024-05-29T00:09:00Z,101-1-1-0005,still,
1716941400000,2024-05-29T00:10:00Z,101-1-1-0005,still,
1716941460000,2024-05-29T00:11:00Z,101-1-1-0005,still,
1716941520000,2024-05-29T00:12:00Z,101-1-1-0005,still,
1716941580000,2024-05-29T00:13:00Z,101-1-1-0005,still,
1716941640000,2024-05-29T00:14:00Z,101-1-1-0005,still,
1716941700000,2024-05-29T00:15:00Z,101-1-1-0005,still,
1716941760000,2024-05-29T00:16:00Z,101-1-1-0005,still,
1716941820000,2024-05-29T00:17:00Z,101-1-1-0005,still,
1716941880000,2024-05-29T00:18:00Z,101-1-1-0005,still,
1716941940000,2024-05-29T00:19:00Z,101-1-1-0005,still,
1716942000000,2024-05-29T00:20:00Z,101-1-1-0005,still,
1716942060000,2024-05-29T00:21:00Z,101-1-1-0005,still,
1716942120000,2024-05-29T00:22:00Z,101-1-1-0005,still,
1716942180000,2024-05-29T00:23:00Z,101-1-1-0005,still,
1716942240000,2024-05-29T00:24:00Z,101-1-1-0005,still,
1716942300000,2024-05-29T00:25:00Z,101-1-1-0005,still,
1716942360000,2024-05-29T00:26:00Z,101-1-1-0005,still,
1716942420000,2024-05-29T00:27:00Z,101-1-1-0005,still,
1716942480000,2024-05-29T00:28:00Z,101-1-1-0005,still,
1716942540000,2024-05-29T00:29:00Z,101-1-1-0005,still,
1716942600000,2024-05-29T00:30:00Z,101-1-1-0005,still,
1716942660000,2024-05-29T00:31:00Z,101-1-1-0005,still,
1716942720000,2024-05-29T00:32:00Z,101-1-1-0005,still,
1716942780000,2024-05-29T00:33:00Z,101-1-1-0005,still,
1716942840000,2024-05-29T00:34:00Z,101-1-1-0005,still,
1716942900000,2024-05-29T00:35:00Z,101-1-1-0005,still,
1716942960000,2024-05-29T00:36:00Z,101-1-1-0005,still,
1716943020000,2024-05-29T00:37:00Z,101-1-1-0005,still,
1716943080000,2024-05-29T00:38:00Z,101-1-1-0005,still,
1716943140000,2024-05-29T00:39:00Z,101-1-1-0005,still,
1716943200000,2024-05-29T00:40:00Z,101-1-1-0005,still,
1716943260000,2024-05-29T00:41:00Z,101-1-1-0005,still,
1716943320000,2024-05-29T00:42:00Z,101-1-1-0005,still,
1716943380000,2024-05-29T00:43:00Z,101-1-1-0005,still,
1716943440000,2024-05-29T00:44:00Z,101-1-1-0005,still,
1716943500000,2024-05-29T00:45:00Z,101-1-1-0005,still,
1716943560000,2024-05-29T00:46:00Z,101-1-1-0005,still,
1716943620000,2024-05-29T00:47:00Z,101-1-1-0005,still,
1716943680000,2024-05-29T00:48:00Z,101-1-1-0005,still,
1716943740000,2024-05-29T00:49:00Z,101-1-1-0005,still,
1716943800000,2024-05-29T00:50:00Z,101-1-1-0005,still,
1716943860000,2024-05-29T00:51:00Z,101-1-1-0005,still,
1716943920000,2024-05-29T00:52:00Z,101-1-1-0005,still,
1716943980000,2024-05-29T00:53:00Z,101-1-1-0005,still,
1716944040000,2024-05-29T00:54:00Z,101-1-1-0005,still,
1716944100000,2024-05-29T00:55:00Z,101-1-1-0005,still,
1716944160000,2024-05-29T00:56:00Z,101-1-1-0005,still,
1716944220000,2024-05-29T00:57:00Z,101-1-1-0005,still,
1716944280000,2024-05-29T00:58:00Z,101-1-1-0005,still,
1716944340000,2024-05-29T00:59:00Z,101-1-1-0005,still,
1716944400000,2024-05-29T01:00:00Z,101-1-1-0005,still,
1716944460000,2024-05-29T01:01:00Z,101-1-1-0005,still,
1716944520000,2024-05-29T01:02:00Z,101-1-1-0005,still,
1716944580000,2024-05-29T01:03:00Z,101-1-1-0005,still,
1716944640000,2024-05-29T01:04:00Z,101-1-1-0005,still,
1716944700000,2024-05-29T01:05:00Z,101-1-1-0005,still,
1716944760000,2024-05-29T01:06:00Z,101-1-1-0005,still,
1716944820000,2024-05-29T01:07:00Z,101-1-1-0005,still,
