timestamp,value,quality_indicator
1678803686,0,0
1678803695,27,2
1678803699,29,2
1678803700,0,0
1678803710,25,2
1678803712,0,0
1678803714,36,2
1678803715,37,2
1678803717,39,2
1678803718,49,2
1678803719,0,0
1678803744,24,2
1678803746,31,2
1678803747,0,0
1678803880,29,2
1678803883,32,2
1678803885,34,2
1678803886,0,0
1678804330,40,2
1678804331,0,0
1678804445,40,2
1678804447,44,2
1678804448,46,2
1678804449,0,0
1678804646,39,2
1678804648,31,2
1678804649,30,2
1678804650,0,0
1678804653,30,2
1678804654,26,2
1678804655,31,2
1678804656,0,0
1678804678,68,2
1678804679,67,2
1678804680,36,2
1678804681,33,2
1678804682,0,0
1678804731,60,2
1678804733,25,2
1678804735,0,0
1678804779,62,2
1678804781,49,2
1678804782,42,2
1678804783,41,2
1678804784,0,0
1678804856,30,2
1678804858,0,0
1678804889,31,2
1678804890,29,2
1678804894,46,2
1678804897,0,0
1678804936,34,2
1678804937,0,0
1678805227,39,2
1678805228,30,2
1678805229,23,2
1678805230,23,3
1678805231,0,0
1678805242,35,2
1678805243,35,3
1678805244,43,2
1678805245,0,0
1678805255,60,2
1678805256,69,2
1678805257,71,2
1678805258,0,0
1678805259,75,2
1678805260,0,0
1678805269,48,2
1678805271,55,2
1678805272,0,0
1678805290,55,2
1678805291,53,2
1678805292,39,2
1678805293,38,2
1678805294,36,2
1678805295,0,0
1678805302,53,2
1678805303,54,2
1678805305,59,2
1678805306,60,2
1678805307,61,2
1678805308,0,0
1678805315,69,2
1678805317,76,2
1678805319,0,0
1678805451,36,2
1678805452,32,2
1678805454,24,2
1678805455,23,2
1678805457,24,2
1678805459,28,2
1678805460,34,2
1678805461,35,2
1678805462,0,0
1678805503,25,2
1678805504,0,0
1678805593,53,2
1678805594,0,0
1678805630,84,2
1678805631,0,0
1678805648,56,2
1678805649,0,0
1678805663,50,2
1678805664,0,0
1678805665,50,3
1678805666,0,0
1678805673,41,2
1678805675,0,0
1678805711,39,2
1678805712,0,0
1678805910,54,2
1678805911,69,2
1678805912,0,0
1678805915,69,2
1678805916,65,2
1678805917,64,2
1678805919,63,2
1678805920,61,2
1678805922,0,0
1678805926,37,2
1678805931,0,0
1678805932,23,2
1678805935,28,2
1678805936,38,2
1678805937,0,0
1678805938,48,2
1678805939,38,2
1678805940,39,2
1678805941,0,0
1678805942,39,2
1678805943,0,0
1678805946,44,2
1678805947,37,2
1678805949,34,2
1678805950,32,2
1678805952,34,2
1678805953,0,0
1678806102,27,2
1678806106,56,3
1678806107,60,3
1678806108,60,2
1678806109,0,0
1678806116,44,2
1678806118,54,2
1678806120,63,2
1678806122,0,0
1678806187,38,2
1678806188,28,2
1678806190,23,2
1678806191,21,2
1678806192,0,0
1678806213,30,2
1678806214,29,2
1678806216,0,0
1678806250,48,2
1678806253,31,2
1678806254,29,2
1678806256,31,2
1678806257,0,0
1678806275,52,2
1678806276,48,2
1678806277,27,2
1678806279,27,3
1678806280,30,2
1678806281,54,2
1678806284,52,2
1678806285,0,0
1678806337,58,2
1678806339,51,2
1678806340,41,2
1678806341,35,2
1678806342,0,0
1678806367,34,2
1678806368,30,2
1678806369,24,2
1678806370,30,2
1678806371,34,2
1678806372,46,2
1678806375,45,2
1678806377,0,0
1678806437,46,2
1678806438,0,0
1678806440,51,2
1678806441,0,0
1678806446,65,2
1678806447,63,2
1678806448,45,2
1678806449,33,2
1678806450,31,2
1678806451,0,0
1678806452,30,2
1678806453,24,2
1678806455,0,0
1678806509,34,2
1678806511,0,0
1678806607,52,2
1678806608,0,0
1678806624,48,2
1678806626,0,0
1678806649,28,2
1678806650,27,2
1678806651,0,0
1678806653,32,2
1678806654,40,2
1678806657,35,2
1678806658,0,0
1678806682,56,2
1678806683,51,2
1678806684,0,0
1678806741,32,2
1678806742,26,2
1678806743,32,2
1678806744,44,2
1678806745,32,2
1678806746,25,2
1678806747,44,2
1678806748,0,0
1678806749,25,2
1678806750,27,2
1678806752,25,2
1678806754,27,2
1678806755,0,0
1678806785,33,2
1678806786,0,0
1678806791,44,2
1678806793,45,2
1678806795,0,0
1678806802,38,2
1678806805,30,2
1678806807,32,2
1678806809,0,0
1678806812,37,2
1678806814,44,2
1678806815,45,2
1678806816,46,2
1678806817,49,2
1678806818,0,0
1678806825,29,2
1678806827,29,3
1678806830,28,2
1678806833,34,2
1678806834,38,2
1678806835,39,2
1678806837,42,2
1678806840,0,0
1678806992,30,2
1678806993,24,2
1678806994,22,2
1678806996,24,2
1678806997,48,2
1678806998,60,2
1678807000,0,0
1678807007,24,2
1678807008,23,2
1678807011,0,0
1678807016,41,2
1678807017,40,2
1678807018,38,2
1678807021,37,2
1678807023,34,2
1678807025,0,0
1678807115,48,2
1678807118,0,0
1678807119,54,2
1678807120,43,2
1678807121,0,0
1678807262,51,2
1678807264,0,0
1678807290,29,2
1678807291,0,0
1678807292,37,2
1678807293,31,2
1678807295,0,0
1678807300,31,2
1678807304,52,2
1678807305,0,0
1678807419,36,2
1678807423,0,0
1678807425,33,2
1678807426,31,2
1678807427,33,2
1678807429,31,2
1678807430,0,0
1678807457,87,2
1678807458,0,0
1678807583,38,2
1678807584,30,2
1678807585,30,3
1678807587,29,3
1678807588,52,2
1678807590,29,2
1678807592,38,2
1678807594,0,0
1678807595,41,2
1678807596,49,2
1678807597,0,0
1678807599,48,2
1678807600,0,0
1678807602,50,2
1678807603,0,0
1678807609,55,2
1678807610,40,2
1678807612,0,0
1678807800,47,2
1678807801,0,0
1678807808,38,2
1678807809,39,2
1678807810,0,0
1678807907,48,2
1678807908,47,2
1678807912,49,2
1678807913,0,0
1678807921,53,2
1678807922,34,2
1678807925,0,0
1678808074,24,2
1678808075,24,3
1678808076,23,3
1678808080,22,3
1678808081,22,2
1678808082,23,2
1678808083,0,0
1678808144,43,2
1678808145,42,2
1678808148,0,0
1678808224,28,2
1678808225,0,0
1678808235,31,2
1678808236,30,2
1678808240,37,2
1678808241,38,2
1678808242,41,2
1678808243,62,2
1678808246,59,2
