timestamp,value,quality_indicator
1678803695,0,4
1678803706,0,4
1678803716,0,4
1678803726,0,4
1678803736,0,4
1678803746,0,4
1678803756,0,4
1678803766,0,4
1678803776,25,4
1678803786,25,4
1678803796,25,4
1678803806,25,4
1678803816,25,4
1678803826,25,4
1678803836,24,4
1678803846,14,4
1678803856,4,4
1678803866,0,4
1678803876,0,4
1678803886,0,4
1678803896,0,4
1678803906,0,4
1678803916,32,4
1678803926,32,4
1678803936,107,4
1678803946,107,4
1678803956,107,4
1678803966,107,4
1678803976,105,4
1678803986,218,4
1678803996,460,4
1678804006,1000,4
1678804016,1000,4
1678804026,1000,4
1678804036,1000,4
1678804046,1000,4
1678804056,1000,4
1678804066,988,4
1678804076,875,4
1678804086,774,4
1678804096,685,4
1678804106,605,4
1678804116,535,4
1678804126,473,4
1678804136,416,4
1678804146,366,4
1678804156,322,4
1678804166,282,4
1678804176,246,4
1678804186,216,4
1678804196,186,4
1678804206,162,4
1678804216,142,4
1678804226,122,4
1678804236,102,4
1678804246,84,4
1678804256,74,4
1678804266,64,4
1678804276,54,4
1678804286,44,4
1678804296,34,4
1678804306,24,4
1678804316,23,4
1678804326,23,4
1678804336,23,4
1678804346,23,4
1678804356,23,4
1678804366,22,4
1678804376,12,4
1678804386,2,4
1678804396,0,4
1678804406,0,4
1678804416,0,4
1678804426,0,4
1678804436,0,4
1678804446,58,4
1678804456,58,4
1678804466,58,4
1678804476,58,4
1678804486,58,4
1678804496,58,4
1678804506,57,4
1678804516,54,4
1678804526,54,4
1678804536,54,4
1678804546,138,4
1678804556,159,4
1678804566,171,4
1678804576,171,4
1678804586,171,4
1678804596,171,4
1678804606,169,4
1678804616,149,4
1678804626,129,4
1678804636,109,4
1678804646,89,4
1678804656,78,4
1678804666,68,4
1678804676,58,4
1678804686,48,4
1678804696,38,4
1678804706,28,4
1678804716,18,4
1678804726,8,4
1678804736,0,4
1678804746,0,4
1678804756,0,4
1678804766,0,4
1678804776,0,4
1678804786,0,4
1678804796,0,4
1678804806,0,4
1678804816,0,4
1678804826,0,4
1678804836,0,4
1678804846,0,4
1678804856,42,4
1678804866,42,4
1678804876,42,4
1678804886,42,4
1678804896,42,4
1678804906,42,4
1678804916,41,4
1678804926,31,4
1678804936,21,4
1678804946,11,4
1678804956,1,4
1678804966,0,4
1678804976,0,4
1678804986,0,4
1678804996,0,4
1678805006,0,4
1678805016,0,4
1678805026,0,4
1678805036,0,4
1678805046,0,4
1678805056,0,4
1678805066,0,4
1678805076,0,4
1678805086,0,4
1678805096,0,4
1678805106,0,4
1678805116,0,4
1678805126,0,4
1678805136,0,4
1678805146,0,4
1678805156,0,4
1678805166,0,4
1678805176,0,4
1678805186,0,4
1678805196,0,4
1678805206,0,4
1678805216,0,4
1678805226,0,4
1678805236,0,4
1678805246,0,4
1678805256,0,4
1678805266,0,4
1678805276,0,4
1678805286,0,4
1678805296,0,4
1678805306,0,4
1678805316,0,4
1678805326,0,4
1678805336,0,4
1678805346,0,4
1678805356,0,4
1678805366,0,4
1678805376,0,4
1678805386,0,4
1678805396,0,4
1678805406,0,4
1678805416,0,4
1678805426,0,4
1678805436,0,4
1678805446,0,4
1678805456,0,4
1678805466,0,4
1678805476,0,4
1678805486,0,4
1678805496,56,4
1678805506,56,4
1678805516,56,4
1678805526,56,4
1678805536,56,4
1678805546,56,4
1678805556,55,4
1678805566,45,4
1678805576,35,4
1678805586,25,4
1678805596,15,4
1678805606,5,4
1678805616,0,4
1678805626,0,4
1678805636,0,4
1678805646,0,4
1678805656,0,4
1678805666,0,4
1678805676,0,4
1678805686,0,4
1678805696,0,4
1678805706,0,4
1678805716,0,4
1678805726,0,4
1678805736,0,4
1678805746,0,4
1678805756,0,4
1678805766,0,4
1678805776,0,4
1678805786,0,4
1678805796,0,4
1678805806,0,4
1678805816,0,4
1678805826,0,4
1678805836,0,4
1678805846,0,4
1678805856,0,4
1678805866,0,4
1678805876,0,4
1678805886,0,4
1678805896,0,4
1678805906,0,4
1678805916,0,4
1678805926,0,4
1678805936,0,4
1678805946,0,4
1678805956,0,4
1678805966,0,4
1678805976,0,4
1678805986,0,4
1678805996,0,4
1678806006,0,4
1678806016,0,4
1678806026,0,4
1678806036,0,4
1678806046,0,4
1678806056,0,4
1678806066,0,4
1678806076,0,4
1678806086,0,4
1678806096,0,4
1678806106,0,4
1678806116,0,4
1678806126,0,4
1678806136,0,4
1678806146,0,4
1678806156,0,4
1678806166,0,4
1678806176,0,4
1678806186,0,4
1678806196,0,4
1678806206,0,4
1678806216,0,4
1678806226,0,4
1678806236,0,4
1678806246,37,4
1678806256,37,4
1678806266,37,4
1678806276,37,4
1678806286,37,4
1678806296,37,4
1678806306,36,4
1678806316,26,4
1678806326,16,4
1678806336,6,4
1678806346,0,4
1678806356,0,4
1678806366,0,4
1678806376,0,4
1678806386,0,4
1678806396,0,4
1678806406,0,4
1678806416,0,4
1678806426,0,4
1678806436,0,4
1678806446,0,4
1678806456,0,4
1678806466,38,4
1678806476,38,4
1678806486,38,4
1678806496,38,4
1678806506,38,4
1678806516,38,4
1678806526,37,4
1678806536,27,4
1678806546,33,4
1678806556,33,4
1678806566,33,4
1678806576,33,4
1678806586,33,4
1678806596,33,4
1678806606,32,4
1678806616,22,4
1678806626,12,4
1678806636,2,4
1678806646,0,4
1678806656,0,4
1678806666,0,4
1678806676,0,4
1678806686,0,4
1678806696,0,4
1678806706,0,4
1678806716,0,4
1678806726,0,4
1678806736,0,4
1678806746,0,4
1678806756,0,4
1678806766,0,4
1678806776,0,4
1678806786,0,4
1678806796,0,4
1678806806,0,4
1678806816,0,4
1678806826,0,4
1678806836,0,4
1678806846,0,4
1678806856,0,4
1678806866,0,4
1678806876,0,4
1678806886,0,4
1678806896,0,4
1678806906,0,4
1678806916,0,4
1678806926,0,4
1678806936,0,4
1678806946,0,4
1678806956,0,4
1678806966,0,4
1678806976,0,4
1678806986,0,4
1678806996,0,4
1678807006,0,4
1678807016,0,4
1678807026,0,4
1678807036,76,4
1678807046,76,4
1678807056,76,4
1678807066,76,4
1678807076,76,4
1678807086,76,4
1678807096,75,4
1678807106,65,4
1678807116,55,4
1678807126,45,4
1678807136,35,4
1678807146,25,4
1678807156,15,4
1678807166,5,4
1678807176,0,4
1678807186,0,4
1678807196,0,4
1678807206,0,4
1678807216,0,4
1678807226,0,4
1678807236,0,4
1678807246,0,4
1678807256,0,4
1678807266,0,4
1678807276,0,4
1678807286,0,4
1678807296,0,4
1678807306,0,4
1678807316,0,4
1678807326,0,4
1678807336,54,4
1678807346,54,4
1678807356,54,4
1678807366,272,4
1678807376,272,4
1678807386,272,4
1678807396,268,4
1678807406,236,4
1678807416,206,4
1678807426,176,4
1678807436,155,4
1678807446,135,4
1678807456,115,4
1678807466,95,4
1678807476,81,4
1678807486,71,4
1678807496,61,4
1678807506,51,4
1678807516,41,4
1678807526,31,4
1678807536,21,4
1678807546,21,4
1678807556,21,4
1678807566,21,4
1678807576,20,4
1678807586,10,4
1678807596,0,4
1678807606,0,4
1678807616,0,4
1678807626,0,4
1678807636,0,4
1678807646,0,4
1678807656,0,4
1678807666,0,4
1678807676,0,4
1678807686,0,4
1678807696,0,4
1678807706,0,4
1678807716,0,4
1678807726,0,4
1678807736,0,4
1678807746,0,4
1678807756,0,4
1678807766,0,4
1678807776,0,4
1678807786,0,4
1678807796,0,4
1678807806,0,4
1678807816,0,4
1678807826,0,4
1678807836,0,4
1678807846,0,4
1678807856,0,4
1678807866,0,4
1678807876,0,4
1678807886,0,4
1678807896,0,4
1678807906,0,4
1678807916,0,4
1678807926,0,4
1678807936,0,4
1678807946,43,4
1678807956,50,4
1678807966,76,4
1678807976,76,4
1678807986,90,4
1678807996,116,4
1678808006,114,4
1678808016,94,4
1678808026,82,4
1678808036,82,4
1678808046,111,4
1678808056,109,4
1678808066,89,4
1678808076,180,4
1678808086,177,4
1678808096,156,4
1678808106,136,4
1678808116,116,4
1678808126,96,4
1678808136,92,4
1678808146,79,4
1678808156,69,4
1678808166,59,4
1678808176,49,4
1678808186,61,4
1678808196,61,4
1678808206,61,4
1678808216,61,4
1678808226,60,4
1678808236,50,4
1678808246,40,4
1678808256,30,4
1678808266,20,4
1678808276,10,4
1678808286,0,4
1678808296,0,4
1678808306,0,4
1678808316,0,4
1678808326,0,4
1678808336,0,4
1678808346,0,4
1678808356,0,4
1678808366,0,4
1678808376,0,4
1678808386,0,4
1678808396,0,4
1678808406,0,4
1678808416,0,4
1678808426,0,4
1678808436,0,4
1678808446,18,4
1678808456,18,4
1678808466,18,4
1678808476,18,4
1678808486,18,4
1678808496,18,4
1678808506,17,4
1678808516,7,4
1678808526,0,4
1678808536,7,4
1678808546,7,4
1678808556,7,4
1678808566,34,4
1678808576,34,4
1678808586,34,4
1678808596,33,4
1678808606,27,4
1678808616,27,4
1678808626,26,4
1678808636,16,4
1678808646,6,4
1678808656,0,4
1678808666,0,4
1678808676,0,4
1678808686,0,4
1678808696,0,4
