timestamp,value,quality_indicator
1678803744,30.84,4
1678803804,30.84,4
1678803864,30.84,4
1678803924,30.84,4
1678803984,30.84,4
1678804044,30.84,4
1678804104,30.84,4
1678804164,30.84,4
1678804224,32.125,4
1678804284,30.84,4
1678804344,30.84,4
1678804404,32.125,4
1678804464,32.125,4
1678804524,30.84,4
1678804584,30.84,4
1678804644,32.125,4
1678804704,32.125,4
1678804764,32.125,4
1678804824,32.125,4
1678804884,32.125,4
1678804944,32.125,4
1678805004,32.125,4
1678805064,32.125,4
1678805124,32.125,4
1678805184,32.125,4
1678805244,32.125,4
1678805304,32.125,4
1678805364,32.125,4
1678805424,32.125,4
1678805484,32.125,4
1678805544,32.125,4
1678805604,32.125,4
1678805664,32.125,4
1678805724,32.125,4
1678805784,32.125,4
1678805844,32.125,4
1678805904,32.125,4
1678805964,32.125,4
1678806024,32.125,4
1678806084,32.125,4
1678806144,30.84,4
1678806204,30.84,4
1678806264,30.84,4
1678806324,30.84,4
1678806384,30.84,4
1678806444,30.84,4
1678806504,30.84,4
1678806564,30.84,4
1678806624,30.84,4
1678806684,30.84,4
1678806744,29.555,4
1678806804,29.555,4
1678806864,29.555,4
1678806924,29.555,4
1678806984,29.555,4
1678807044,29.555,4
1678807104,29.555,4
1678807164,29.555,4
1678807224,29.555,4
1678807284,29.555,4
1678807344,29.555,4
1678807404,29.555,4
1678807464,29.555,4
1678807524,29.555,4
1678807584,29.555,4
1678807644,29.555,4
1678807704,29.555,4
1678807764,29.555,4
1678807824,29.555,4
1678807884,29.555,4
1678807944,29.555,4
1678808004,29.555,4
1678808064,29.555,4
1678808124,29.555,4
1678808184,29.555,4
1678808244,29.555,4
1678808304,29.555,4
1678808364,29.555,4
1678808424,29.555,4
1678808484,29.555,4
1678808544,29.555,4
1678808604,29.555,4
1678808664,29.555,4
1678808724,29.555,4
1678808784,29.555,4
1678808844,29.555,4
1678808904,29.555,4
1678808964,29.555,4
1678809024,30.84,4
1678809084,30.84,4
1678809144,30.84,4
1678809204,30.84,4
1678809264,30.84,4
1678809324,30.84,4
1678809384,30.84,4
1678809444,30.84,4
1678809504,30.84,4
1678809564,29.555,4
1678809623,29.555,4
1678809683,29.555,4
1678809743,29.555,4
1678809801,29.555,4
1678809860,29.555,4
1678809920,29.555,4
1678809980,29.555,4
1678810040,29.555,4
1678810100,29.555,4
1678810160,29.555,4
1678810220,29.555,4
1678810280,29.555,4
1678810340,28.27,4
1678810400,28.27,4
1678810460,28.27,4
1678810520,29.555,4
1678810580,29.555,4
1678810640,29.555,4
1678810700,30.84,4
1678810760,30.84,4
1678810820,32.125,4
1678810880,32.125,4
1678810940,32.125,4
1678811000,32.125,4
1678811060,32.125,4
1678811120,32.125,4
1678811180,32.125,4
1678811240,32.125,4
1678811300,32.125,4
1678811360,32.125,4
1678811420,32.125,4
1678811480,32.125,4
1678811540,32.125,4
1678811600,32.125,4
1678811660,32.125,4
1678811720,33.410000000000004,4
1678811780,33.410000000000004,4
1678811840,33.410000000000004,4
1678811900,33.410000000000004,4
1678811960,32.125,4
1678812020,32.125,4
1678812080,32.125,4
1678812140,32.125,4
1678812200,32.125,4
1678812260,32.125,4
1678812320,32.125,4
1678812380,30.84,4
1678812440,30.84,4
1678812500,30.84,4
1678812559,30.84,4
1678812619,30.84,4
1678812679,29.555,4
1678812739,29.555,4
1678812799,29.555,4
1678812859,29.555,4
1678812919,29.555,4
1678812979,29.555,4
1678813039,29.555,4
1678813099,29.555,4
1678813159,29.555,4
1678813219,29.555,4
1678813279,30.84,4
1678813339,30.84,4
1678813399,30.84,4
1678813459,30.84,4
1678813519,30.84,4
1678813579,30.84,4
1678813639,30.84,4
1678813699,30.84,4
1678813759,30.84,4
1678813819,32.125,4
1678813879,32.125,4
1678813939,32.125,4
1678813999,32.125,4
1678814059,32.125,4
1678814119,32.125,4
1678814179,33.410000000000004,4
1678814239,33.410000000000004,4
1678814299,33.410000000000004,4
1678814359,33.410000000000004,4
1678814419,33.410000000000004,4
1678814479,32.125,4
1678814539,32.125,4
1678814599,32.125,4
1678814659,32.125,4
1678814719,33.410000000000004,4
1678814779,33.410000000000004,4
1678814839,33.410000000000004,4
1678814899,32.125,4
1678814959,32.125,4
1678815019,32.125,4
1678815079,32.125,4
1678815139,32.125,4
1678815199,32.125,4
1678815259,32.125,4
1678815319,32.125,4
1678815379,32.125,4
1678815439,32.125,4
1678815499,32.125,4
1678815559,32.125,4
1678815619,32.125,4
1678815679,32.125,4
1678815739,32.125,4
1678815799,32.125,4
1678815859,32.125,4
1678815919,32.125,4
1678815979,32.125,4
1678816039,32.125,4
1678816099,32.125,4
1678816159,32.125,4
1678816219,32.125,4
1678816279,32.125,4
1678816339,32.125,4
1678816399,32.125,4
1678816459,32.125,4
1678816519,32.125,4
1678816579,32.125,4
1678816639,33.410000000000004,4
1678816699,33.410000000000004,4
1678816759,33.410000000000004,4
1678816819,33.410000000000004,4
1678816879,33.410000000000004,4
1678816939,33.410000000000004,4
1678816999,33.410000000000004,4
1678817059,33.410000000000004,4
1678817119,33.410000000000004,4
1678817179,33.410000000000004,4
1678817239,33.410000000000004,4
1678817299,33.410000000000004,4
1678817359,33.410000000000004,4
1678817419,33.410000000000004,4
1678817479,32.125,4
1678817539,32.125,4
1678817599,30.84,4
1678817659,30.84,4
1678817719,30.84,4
1678817779,30.84,4
1678817839,29.555,4
1678817899,29.555,4
1678817959,29.555,4
1678818019,30.84,4
1678818079,30.84,4
1678818139,30.84,4
1678818199,32.125,4
1678818259,32.125,4
1678818319,32.125,4
1678818379,32.125,4
1678818439,32.125,4
1678818499,33.410000000000004,4
1678818559,33.410000000000004,4
1678818619,33.410000000000004,4
1678818679,33.410000000000004,4
1678818739,33.410000000000004,4
1678818799,33.410000000000004,4
1678818859,33.410000000000004,4
1678818919,33.410000000000004,4
1678818979,33.410000000000004,4
1678819039,33.410000000000004,4
1678819099,33.410000000000004,4
1678819159,33.410000000000004,4
1678819219,33.410000000000004,4
1678819279,33.410000000000004,4
1678819339,33.410000000000004,4
1678819399,33.410000000000004,4
1678819459,33.410000000000004,4
1678819519,33.410000000000004,4
1678819579,33.410000000000004,4
1678819639,33.410000000000004,4
1678819699,32.125,4
1678819759,32.125,4
1678819819,32.125,4
1678819879,30.84,4
1678819939,30.84,4
1678819999,30.84,4
1678820059,30.84,4
1678820119,30.84,4
1678820179,30.84,4
1678820239,30.84,4
1678820299,30.84,4
1678820359,30.84,4
1678820479,30.84,4
1678820539,30.84,4
1678820599,32.125,4
1678820659,32.125,4
1678820719,32.125,4
1678820779,32.125,4
1678820839,32.125,4
1678820899,32.125,4
1678820959,32.125,4
1678821019,30.84,4
1678821079,30.84,4
1678821139,30.84,4
1678821201,30.84,4
1678821259,30.84,4
1678821319,30.84,4
1678821379,32.125,4
1678821439,32.125,4
1678821499,32.125,4
1678821559,32.125,4
1678821619,32.125,4
1678821679,32.125,4
1678821739,32.125,4
1678821799,32.125,4
1678821859,32.125,4
1678821919,32.125,4
1678821979,32.125,4
1678822039,32.125,4
1678822099,32.125,4
