timestamp,value,quality_indicator
1716367406,0,0
1716367420,31,2
1716367421,0,0
1716367427,21,2
1716367429,0,0
1716367449,23,2
1716367450,21,2
1716367452,0,0
1716367616,31,2
1716367617,0,0
1716367618,34,2
1716367620,43,2
1716367621,0,0
1716367891,56,2
1716367892,38,2
1716367893,27,2
1716367895,38,2
1716367897,60,2
1716367898,61,2
1716367899,63,2
1716367900,0,0
1716368018,36,2
1716368019,43,2
1716368021,0,0
1716368462,59,2
1716368463,55,2
1716368464,0,0
1716368554,27,2
1716368556,0,0
1716368755,60,2
1716368756,0,0
1716368758,60,2
1716368759,36,2
1716368760,31,2
1716368761,30,2
1716368764,67,2
1716368765,0,0
1716368772,58,2
1716368775,59,2
1716368778,52,2
1716368779,53,2
1716368781,0,0
1716368788,57,2
1716368789,0,0
1716368790,59,2
1716368792,37,2
1716368795,35,2
1716368796,42,2
1716368797,0,0
1716368832,49,2
1716368836,0,0
1716368842,45,2
1716368843,35,2
1716368845,0,0
1716368855,34,2
1716368856,0,0
1716368861,40,2
1716368862,0,0
1716368867,38,2
1716368868,37,2
1716368869,35,2
1716368870,38,2
1716368872,45,2
1716368877,47,2
1716368880,32,2
1716368882,0,0
1716368891,47,2
1716368892,50,3
1716368893,52,3
1716368894,0,0
1716368899,37,2
1716368900,0,0
1716368901,35,2
1716368903,0,0
1716369145,55,2
1716369146,0,0
1716369149,66,2
1716369150,70,2
1716369152,38,2
1716369153,0,0
1716369207,36,2
1716369209,31,2
1716369210,38,2
1716369211,35,2
1716369212,37,2
1716369214,0,0
1716369244,39,2
1716369248,0,0
1716369261,24,2
1716369263,22,2
1716369265,24,2
1716369266,37,2
1716369267,0,0
1716369293,44,2
1716369294,0,0
1716369507,71,2
1716369508,72,2
1716369509,0,0
1716369789,27,2
1716369790,0,0
1716369880,31,2
1716369881,32,2
1716369882,0,0
1716369997,66,2
1716369998,29,2
1716369999,0,0
1716370000,23,2
1716370001,0,0
1716370021,27,2
1716370022,0,0
1716370076,28,2
1716370077,0,0
1716370135,37,2
1716370138,0,0
1716370155,75,2
1716370157,0,0
1716370201,64,2
1716370202,0,0
1716370204,63,2
1716370205,44,2
1716370206,34,2
1716370207,32,3
1716370210,49,3
1716370211,50,3
1716370212,52,2
1716370214,56,2
1716370216,0,0
1716370332,23,2
1716370333,0,0
1716370351,34,2
1716370354,0,0
1716370375,24,2
1716370377,30,2
1716370379,53,2
1716370380,54,2
1716370382,0,0
1716370538,44,2
1716370539,0,0
1716370674,48,2
1716370675,32,2
1716370677,48,2
1716370678,0,0
1716370790,44,2
1716370791,39,2
1716370792,29,2
1716370794,0,0
1716370823,41,2
1716370824,39,2
1716370825,0,0
1716370831,32,2
1716370832,0,0
1716370855,28,2
1716370856,27,2
1716370858,0,0
1716370859,27,2
1716370862,24,2
1716370864,0,0
1716370897,36,2
1716370898,32,2
1716370899,0,0
1716370914,29,2
1716370915,30,2
1716370917,32,2
1716370918,0,0
1716370950,59,2
1716370952,59,3
1716370954,28,3
1716370955,25,3
1716370956,22,3
1716370957,25,2
1716370959,31,2
1716370960,0,0
1716371031,44,2
1716371032,32,2
1716371033,0,0
1716371043,27,2
1716371044,25,2
1716371047,27,2
1716371048,0,0
1716371051,31,2
1716371053,34,2
1716371054,0,0
1716371057,51,2
1716371058,49,2
1716371059,0,0
1716371092,30,2
1716371093,0,0
1716371119,37,2
1716371120,36,2
1716371121,30,2
1716371122,0,0
1716371159,25,2
1716371160,27,2
1716371161,0,0
1716371162,28,2
1716371163,36,2
1716371165,0,0
1716371169,36,2
1716371170,28,2
1716371171,24,2
1716371172,23,3
1716371173,23,2
1716371174,22,2
