timestamp,value,body_position,quality_indicator
1716367410,3714,1,4
1716367415,9786,1,4
1716367420,8532,1,4
1716367425,4859,1,4
1716367430,7178,1,4
1716367435,3517,1,4
1716367440,3223,1,4
1716367445,5999,1,4
1716367450,3789,1,4
1716367455,774,1,4
1716367460,113,1,4
1716367465,422,1,4
1716367470,354,1,4
1716367475,3402,1,4
1716367480,157,1,4
1716367485,154,1,4
1716367490,3483,1,4
1716367495,7496,1,4
1716367500,2126,1,4
1716367505,229,1,4
1716367510,109,1,4
1716367515,179,1,4
1716367520,165,1,4
1716367525,195,1,4
1716367530,173,1,4
1716367535,119,1,4
1716367540,704,1,4
1716367545,300,1,4
1716367550,166,1,4
1716367555,205,1,4
1716367560,326,1,4
1716367565,183,1,4
1716367570,140,1,4
1716367575,314,1,4
1716367580,254,1,4
1716367585,180,1,4
1716367590,349,1,4
1716367595,254,1,4
1716367600,185,1,4
1716367605,4807,1,4
1716367610,8717,1,4
1716367615,5781,1,4
1716367620,3292,1,4
1716367625,2363,1,4
1716367630,1195,1,4
1716367635,243,1,4
1716367640,2097,1,4
1716367645,3417,1,4
1716367650,804,1,4
1716367655,612,1,4
1716367660,186,1,4
1716367665,216,1,4
1716367670,199,1,4
1716367675,4486,1,4
1716367680,3036,1,4
1716367685,64,1,4
1716367690,87,1,4
1716367695,87,1,4
1716367700,98,1,4
1716367705,3377,1,4
1716367710,457,1,4
1716367715,175,1,4
1716367720,178,1,4
1716367725,242,1,4
1716367730,178,1,4
1716367735,308,1,4
1716367740,297,1,4
1716367745,220,1,4
1716367750,403,1,4
1716367755,206,1,4
1716367760,376,1,4
1716367765,100,1,4
1716367770,142,1,4
1716367775,214,1,4
1716367780,217,1,4
1716367785,268,1,4
1716367790,191,1,4
1716367795,114,1,4
1716367800,147,1,4
1716367805,1781,1,4
1716367810,520,1,4
1716367815,756,1,4
1716367820,947,1,4
1716367825,1301,1,4
1716367830,231,1,4
1716367835,388,1,4
1716367840,275,1,4
1716367845,119,1,4
1716367850,871,1,4
1716367855,535,1,4
1716367860,69,1,4
1716367865,71,1,4
1716367870,72,1,4
1716367875,2146,1,4
1716367880,319,1,4
1716367885,3646,1,4
1716367890,7259,1,4
1716367895,2164,1,4
1716367900,219,1,4
1716367905,249,1,4
1716367910,274,1,4
1716367915,546,1,4
1716367920,422,1,4
1716367925,585,1,4
1716367930,119,1,4
1716367935,175,1,4
1716367940,175,1,4
1716367945,85,1,4
1716367950,72,1,4
1716367955,62,1,4
1716367960,148,1,4
1716367965,78,1,4
1716367970,53,1,4
1716367975,54,1,4
1716367980,581,1,4
1716367985,1665,1,4
1716367990,1363,1,4
1716367995,701,1,4
1716368000,530,1,4
1716368005,1020,1,4
1716368010,1586,1,4
1716368015,3384,1,4
1716368020,95,1,4
1716368025,103,1,4
1716368030,81,1,4
1716368035,78,1,4
1716368040,58,1,4
1716368045,891,1,4
1716368050,86,1,4
1716368055,66,1,4
1716368060,94,1,4
1716368065,132,1,4
1716368070,331,1,4
1716368075,259,1,4
1716368080,725,1,4
1716368085,535,1,4
1716368090,199,1,4
1716368095,341,1,4
1716368100,1628,1,4
1716368105,766,1,4
1716368110,366,1,4
1716368115,168,1,4
1716368120,120,1,4
1716368125,152,1,4
1716368130,286,1,4
1716368135,381,1,4
1716368140,3543,1,4
1716368145,156,1,4
1716368150,54,1,4
1716368155,520,1,4
1716368160,106,1,4
1716368165,89,1,4
1716368170,3951,1,4
1716368175,381,1,4
1716368180,227,1,4
1716368185,587,1,4
1716368190,742,1,4
1716368195,794,1,4
1716368200,3129,1,4
1716368205,3914,1,4
1716368210,601,1,4
1716368215,805,1,4
1716368220,249,1,4
1716368225,545,1,4
1716368230,265,1,4
1716368235,583,1,4
1716368240,132,1,4
1716368245,4146,1,4
1716368250,146,1,4
1716368255,6895,1,4
1716368260,79,1,4
1716368265,98,1,4
1716368270,74,1,4
1716368275,85,1,4
1716368280,77,1,4
1716368285,95,1,4
1716368290,2854,1,4
1716368295,176,1,4
1716368300,107,1,4
1716368305,104,1,4
1716368310,144,1,4
1716368315,111,1,4
1716368320,5693,1,4
1716368325,200,1,4
1716368330,97,1,4
1716368335,74,1,4
1716368340,190,1,4
1716368345,105,1,4
1716368350,91,1,4
1716368355,98,1,4
1716368360,3812,1,4
1716368365,3084,1,4
1716368370,2170,1,4
1716368375,459,1,4
1716368380,228,1,4
1716368385,2468,1,4
1716368390,131,1,4
1716368395,118,1,4
1716368400,80,1,4
1716368405,277,1,4
1716368410,1778,1,4
1716368415,141,1,4
1716368420,100,1,4
1716368425,98,1,4
1716368430,6621,1,4
1716368435,3663,1,4
1716368440,6363,1,4
1716368445,3631,1,4
1716368450,7617,1,4
1716368455,9006,1,4
1716368460,2774,1,4
1716368465,239,1,4
1716368470,3425,1,4
1716368475,1739,1,4
1716368480,117,1,4
1716368485,118,1,4
1716368490,208,1,4
1716368495,394,1,4
1716368500,314,1,4
1716368505,1485,1,4
1716368510,2728,1,4
1716368515,95,1,4
1716368520,329,1,4
1716368525,138,1,4
1716368530,356,1,4
1716368535,116,1,4
1716368540,150,1,4
1716368545,2201,1,4
1716368550,1908,1,4
1716368555,2745,1,4
1716368560,1623,1,4
1716368565,2649,1,4
1716368570,447,1,4
1716368575,277,1,4
1716368580,2968,1,4
1716368585,1709,1,4
1716368590,952,1,4
1716368595,423,1,4
1716368600,727,1,4
1716368605,765,1,4
1716368610,491,1,4
1716368615,1862,1,4
1716368620,414,1,4
1716368625,170,1,4
1716368630,129,1,4
1716368635,2963,1,4
1716368640,955,1,4
1716368645,56,1,4
1716368650,67,1,4
1716368655,152,1,4
1716368660,79,1,4
1716368665,70,1,4
1716368670,112,1,4
1716368675,85,1,4
1716368680,643,1,4
1716368685,1348,1,4
1716368690,1617,1,4
1716368695,1631,1,4
1716368700,1581,1,4
1716368705,1717,1,4
1716368710,1427,1,4
1716368715,786,1,4
1716368720,383,1,4
1716368725,56,1,4
1716368730,60,1,4
1716368735,85,1,4
1716368740,6731,1,4
1716368745,6291,1,4
1716368750,10556,1,4
1716368755,5577,1,4
1716368760,8803,1,4
1716368765,3736,1,4
1716368770,4990,1,4
1716368775,4035,1,4
1716368780,7095,1,4
1716368785,7938,1,4
1716368790,7527,1,4
1716368795,295,1,4
1716368800,148,1,4
1716368805,125,1,4
1716368810,451,1,4
1716368815,477,1,4
1716368820,435,1,4
1716368825,1835,1,4
1716368830,9312,1,4
1716368835,1822,1,4
1716368840,6152,1,4
1716368845,5277,1,4
1716368850,6554,1,4
1716368855,4329,1,4
1716368860,9737,1,4
1716368865,9835,1,4
1716368870,13118,1,4
1716368875,6025,1,4
1716368880,3763,1,4
1716368885,2921,1,4
1716368890,2957,1,4
1716368895,3317,1,4
1716368900,7063,1,4
1716368905,9756,1,4
1716368910,3075,1,4
1716368915,114,1,4
1716368920,89,1,4
1716368925,5096,1,4
1716368930,449,1,4
1716368935,103,1,4
1716368940,686,1,4
1716368945,816,1,4
1716368950,389,1,4
1716368955,1996,1,4
1716368960,4859,1,4
1716368965,2402,1,4
1716368970,351,1,4
