timestamp,value,quality_indicator
1716367406,other,0
1716367421,other,4
1716367434,other,3
1716367444,other,4
1716367452,other,3
1716367454,other,2
1716367456,rest,2
1716367457,rest,3
1716367459,rest,4
1716367494,rest,3
1716367496,rest,2
1716367503,rest,3
1716367505,rest,4
1716367575,rest,3
1716367577,rest,2
1716367579,cycle,2
1716367581,cycle,3
1716367584,cycle,2
1716367586,rest,2
1716367587,rest,3
1716367590,rest,4
1716367595,rest,3
1716367597,rest,2
1716367598,cycle,2
1716367605,cycle,1
1716367606,rest,1
1716367607,other,1
1716367608,other,2
1716367610,other,3
1716367612,other,4
1716367619,other,3
1716367621,other,2
1716367626,rest,2
1716367627,rest,3
1716367633,rest,4
1716367676,rest,3
1716367678,rest,2
1716367685,rest,3
1716367687,rest,4
1716367735,rest,3
1716367744,rest,4
1716367749,rest,3
1716367751,rest,2
1716367752,cycle,2
1716367754,cycle,3
1716367758,cycle,2
1716367760,rest,2
1716367761,rest,3
1716367763,rest,4
1716367889,rest,3
1716367891,rest,2
1716367893,rest,1
1716367894,other,1
1716367899,rest,2
1716367901,rest,3
1716367903,rest,4
1716367986,rest,3
1716368002,rest,4
1716368008,rest,3
1716368010,rest,2
1716368017,rest,3
1716368019,rest,4
1716368078,rest,3
1716368080,rest,2
1716368087,rest,3
1716368089,rest,4
1716368106,rest,3
1716368108,rest,2
1716368109,cycle,2
1716368115,rest,2
1716368116,rest,3
1716368118,rest,4
1716368203,rest,3
1716368205,rest,2
1716368206,other,2
1716368212,rest,2
1716368213,rest,3
1716368215,rest,4
1716368255,rest,3
1716368257,rest,2
1716368264,rest,3
1716368266,rest,4
1716368320,rest,3
1716368322,rest,2
1716368329,rest,3
1716368331,rest,4
1716368430,rest,3
1716368432,rest,2
1716368433,other,2
1716368446,other,3
1716368457,other,2
1716368461,other,1
1716368462,walk,1
1716368464,rest,2
1716368466,rest,3
1716368468,rest,4
1716368561,rest,3
1716368564,rest,2
1716368565,cycle,2
1716368571,rest,2
1716368572,rest,3
1716368575,rest,4
1716368636,rest,3
1716368638,rest,2
1716368645,rest,3
1716368647,rest,4
1716368703,rest,3
1716368705,rest,2
1716368706,cycle,2
1716368708,cycle,3
1716368710,cycle,4
1716368714,cycle,3
1716368716,cycle,2
1716368718,rest,2
1716368719,rest,3
1716368721,rest,4
1716368739,rest,3
1716368741,rest,2
1716368742,other,2
1716368744,other,3
1716368746,other,4
1716368760,other,3
1716368766,other,2
1716368770,other,3
1716368771,other,2
1716368774,other,1
1716368776,other,2
1716368781,other,3
1716368786,other,2
1716368792,other,1
1716368797,rest,2
1716368799,rest,3
1716368801,rest,4
1716368817,rest,3
1716368819,rest,2
1716368820,cycle,2
1716368822,cycle,3
1716368824,cycle,4
1716368828,cycle,3
1716368830,cycle,2
1716368832,other,2
1716368834,other,3
1716368846,other,4
1716368860,other,3
1716368862,other,2
1716368864,walk,2
1716368872,walk,1
1716368873,cycle,1
1716368874,other,1
1716368875,other,2
1716368878,other,3
1716368882,other,2
1716368884,rest,2
1716368885,rest,3
1716368887,rest,2
1716368890,walk,2
1716368896,walk,1
1716368898,other,1
1716368900,other,2
1716368902,other,3
1716368904,other,4
1716368911,other,3
1716368913,other,2
1716368915,rest,2
1716368916,rest,3
1716368918,rest,4
1716368925,rest,3
1716368927,rest,2
1716368934,rest,3
1716368936,rest,4
1716368958,rest,3
1716368960,rest,2
1716368967,rest,3
1716368969,rest,4
1716368981,rest,3
1716368991,rest,4
1716369048,rest,3
1716369050,rest,2
1716369051,other,2
1716369057,rest,2
1716369058,rest,3
1716369060,rest,4
1716369101,rest,3
1716369103,rest,2
1716369110,rest,3
1716369112,rest,4
1716369135,rest,3
1716369137,rest,2
1716369139,walk,2
1716369141,walk,3
1716369144,walk,4
1716369153,walk,3
1716369155,walk,2
1716369157,rest,2
1716369162,other,2
1716369169,other,1
1716369170,rest,1
1716369171,cycle,1
1716369172,cycle,2
1716369174,cycle,3
1716369177,cycle,4
1716369181,cycle,3
1716369183,cycle,2
1716369185,rest,2
1716369187,rest,3
1716369189,rest,4
1716369193,rest,3
1716369195,rest,2
1716369196,cycle,2
1716369203,walk,2
1716369209,other,2
