timestamp,value,quality_indicator
1678803686,1,0
1678803702,1,2
1678803706,1,3
1678803708,1,4
1678803727,1,3
1678803729,1,2
1678803731,7,2
1678803732,7,3
1678803734,7,4
1678803740,7,3
1678803750,7,4
1678803785,7,3
1678803787,7,2
1678803788,1,2
1678803790,1,3
1678803794,1,2
1678803796,7,2
1678803797,7,3
1678803799,7,4
1678803853,7,3
1678803855,7,2
1678803862,7,3
1678803864,7,4
1678803875,7,3
1678803877,7,2
1678803878,1,2
1678803887,7,2
1678803888,7,3
1678803893,7,2
1678803894,1,2
1678803896,7,2
1678803902,7,3
1678803904,7,4
1678803928,7,3
1678803930,7,2
1678803937,7,3
1678803939,7,4
1678803948,7,3
1678803950,7,2
1678803957,7,3
1678803959,7,4
1678803963,7,3
1678803965,7,2
1678803966,1,2
1678803972,7,2
1678803973,7,3
1678803975,7,4
1678804070,7,3
1678804072,7,2
1678804073,6,2
1678804079,7,2
1678804080,7,3
1678804082,7,4
1678804224,7,3
1678804226,7,2
1678804233,7,3
1678804235,7,4
1678804266,7,3
1678804275,7,4
1678804300,7,3
1678804302,7,2
1678804303,6,2
1678804310,7,2
1678804311,7,3
1678804313,7,4
1678804356,7,3
1678804358,7,2
1678804360,6,2
1678804362,6,3
1678804365,6,4
1678804368,6,3
1678804372,6,2
1678804374,7,2
1678804375,7,3
1678804377,7,4
1678804381,7,3
1678804390,7,4
1678804406,7,3
1678804408,7,2
1678804410,7,1
1678804411,2,1
1678804416,7,2
1678804418,7,3
1678804420,7,4
1678804437,7,3
1678804439,7,2
1678804440,1,2
1678804442,1,3
1678804446,1,2
1678804448,1,1
1678804449,7,2
1678804451,7,3
1678804463,7,4
1678804519,7,3
1678804529,7,4
1678804566,7,3
1678804576,7,4
1678804586,7,3
1678804588,7,2
1678804589,6,2
1678804591,6,3
1678804594,6,4
1678804602,6,3
1678804605,6,2
1678804607,7,2
1678804608,7,3
1678804610,7,4
1678804640,7,3
1678804642,7,2
1678804643,1,2
1678804650,7,2
1678804652,7,3
1678804654,7,4
1678804669,7,3
1678804671,7,2
1678804672,1,2
1678804674,1,3
1678804679,1,2
1678804687,1,3
1678804691,1,2
1678804693,7,2
1678804694,7,3
1678804696,7,4
1678804701,7,3
1678804710,7,4
1678804720,7,3
1678804722,7,2
1678804723,1,2
1678804725,1,3
1678804727,1,4
1678804730,1,3
1678804732,1,2
1678804734,7,2
1678804735,7,3
1678804737,7,4
1678804739,7,3
1678804741,7,2
1678804747,1,1
1678804748,7,1
1678804749,6,1
1678804750,7,2
1678804756,7,3
1678804758,7,4
1678804766,7,3
1678804770,7,2
1678804771,6,2
1678804773,6,3
1678804775,6,2
1678804779,7,2
1678804781,7,3
1678804783,7,4
1678804808,7,3
1678804810,7,2
1678804811,6,2
1678804813,6,3
1678804818,6,2
1678804820,7,2
1678804821,7,3
1678804823,7,4
1678804848,7,3
1678804852,7,2
1678804853,1,2
1678804857,7,2
1678804863,7,3
1678804869,7,4
1678804879,7,3
1678804881,7,2
1678804882,1,2
1678804884,1,3
1678804886,1,4
1678804893,1,3
1678804895,1,2
