timestamp,value,quality_indicator,prediction,prediction_transition_time,prediction_1_hr,cortisol_contribution
1678805186,0,1,0,255,0,192768
1678805246,0,1,0,255,0,209152
1678805306,0,1,0,255,0,225024
1678805366,0,1,0,255,0,240128
1678805426,0,1,0,255,0,254208
1678805486,0,1,0,255,0,267008
1678805546,0,1,0,255,0,278784
1678805606,0,1,0,255,0,289024
1678805666,0,1,0,255,0,298240
1678805726,0,2,0,255,0,305920
1678805786,0,2,0,255,0,312576
1678805846,0,2,0,255,0,317696
1678805906,0,2,0,255,0,321280
1678805966,0,2,0,255,0,323584
1678806026,2,2,1,23,1,324352
1678806086,2,2,1,22,1,323840
1678806146,2,2,1,21,1,322304
1678806206,2,3,1,20,1,319488
1678806266,2,3,1,19,1,315648
1678806326,2,3,1,18,1,310784
1678806386,2,3,1,17,1,305152
1678806446,2,3,1,16,1,298752
1678806506,2,3,1,16,1,291328
1678806566,2,3,1,15,1,283648
1678806626,2,3,1,14,1,275200
1678806686,2,3,1,13,1,266496
1678806746,2,3,1,12,1,257536
1678806806,2,3,1,11,1,248064
1678806866,2,3,1,10,1,238848
1678806926,2,3,1,9,1,229376
1678806986,2,3,1,8,1,219904
1678807046,2,4,1,7,1,210688
1678807106,2,4,1,6,1,201472
1678807166,2,4,1,5,1,192512
1678807226,2,4,1,4,1,183552
1678807286,2,4,1,3,1,175104
1678807346,2,4,1,2,1,166912
1678807406,2,4,1,1,1,158976
1678807466,1,4,1,255,1,151296
1678807526,1,4,1,255,1,144384
1678807586,1,4,1,255,1,137472
1678807646,1,4,1,255,1,131328
1678807706,1,4,1,255,1,125952
1678807766,1,4,1,255,1,120832
1678807826,1,4,1,255,1,116480
1678807886,1,4,1,255,1,112896
1678807946,1,4,1,255,1,109824
1678808006,1,4,1,255,1,107264
1678808066,1,4,1,255,1,105216
1678808126,1,4,1,255,1,103936
1678808186,1,4,1,255,1,102912
1678808246,1,4,1,255,1,102400
1678808306,1,4,1,255,1,102400
1678808366,1,4,1,255,1,102912
1678808426,1,4,1,255,1,103936
1678808486,1,4,1,255,1,105472
1678808546,1,4,1,255,1,107520
1678808606,1,4,1,255,1,110080
1678808666,1,4,1,255,1,112896
1678808726,1,4,2,14,1,115968
1678808786,1,4,2,13,1,119552
1678808846,1,4,2,12,1,123136
1678808906,1,4,2,11,1,126720
1678808966,1,4,2,10,1,130304
1678809026,1,4,2,8,1,134144
1678809086,1,4,2,7,1,137472
1678809146,1,4,2,5,1,140800
1678809206,1,4,2,4,1,143872
1678809266,1,4,2,3,1,146944
