timestamp,value,quality_indicator
1716367415,72,0
1716367425,79,0
1716367435,95,1
1716367445,99,1
1716367455,96,1
1716367465,52,1
1716367475,49,3
1716367485,49,3
1716367495,55,3
1716367505,58,2
1716367515,50,3
1716367525,64,4
1716367535,54,4
1716367545,54,4
1716367555,53,4
1716367565,54,4
1716367575,51,4
1716367585,57,4
1716367595,58,4
1716367605,53,4
1716367615,58,3
1716367625,62,2
1716367635,62,1
1716367645,62,1
1716367655,58,1
1716367665,50,2
1716367675,50,4
1716367685,54,2
1716367695,53,2
1716367705,49,4
1716367715,49,4
1716367725,54,4
1716367735,54,4
1716367745,59,4
1716367755,57,4
1716367765,58,4
1716367775,55,4
1716367785,60,4
1716367795,54,4
1716367805,55,4
1716367815,50,3
1716367825,57,3
1716367835,53,4
1716367845,52,4
1716367855,56,4
1716367865,55,3
1716367875,49,4
1716367885,54,4
1716367895,59,2
1716367905,50,2
1716367915,51,4
1716367925,61,4
1716367935,49,4
1716367945,47,4
1716367955,46,4
1716367965,47,4
1716367975,50,4
1716367985,54,4
1716367995,60,2
1716368005,48,2
1716368015,49,2
1716368025,52,2
1716368035,54,3
1716368045,53,4
1716368055,47,4
1716368065,46,4
1716368075,47,4
1716368085,56,4
1716368095,49,4
1716368105,52,4
1716368115,55,3
1716368125,51,3
1716368135,53,4
1716368145,57,4
1716368155,51,4
1716368165,48,4
1716368175,50,4
1716368185,48,3
1716368195,52,2
1716368205,52,2
1716368215,54,4
1716368225,59,4
1716368235,53,4
1716368245,48,4
1716368255,55,3
1716368265,55,2
1716368275,62,4
1716368285,57,4
1716368295,60,4
1716368305,59,3
1716368315,57,3
1716368325,57,3
1716368335,52,4
1716368345,48,4
1716368355,51,4
1716368365,60,4
1716368375,64,3
1716368385,56,4
1716368395,47,4
1716368405,49,4
1716368415,54,4
1716368425,52,4
1716368435,52,4
1716368445,54,3
1716368455,51,3
1716368465,50,3
1716368475,51,1
1716368485,51,2
1716368495,50,4
1716368505,54,4
1716368515,53,3
1716368525,57,2
1716368535,52,3
1716368545,50,4
1716368555,47,4
1716368565,54,3
1716368575,59,3
1716368585,54,3
1716368595,50,3
1716368605,48,2
1716368615,49,3
1716368625,48,3
1716368635,51,4
1716368645,55,3
1716368655,55,4
1716368665,49,4
1716368675,49,4
1716368685,56,4
1716368695,66,3
1716368705,71,1
1716368715,57,3
1716368725,52,2
1716368735,51,4
1716368745,55,4
1716368755,78,2
1716368765,88,1
1716368775,88,1
1716368785,85,1
1716368795,69,1
1716368805,52,3
1716368815,55,4
1716368825,57,4
1716368835,64,4
1716368845,70,2
1716368855,73,1
1716368865,79,0
1716368875,66,0
1716368885,66,1
1716368895,71,3
1716368905,75,2
1716368915,57,1
1716368925,50,3
1716368935,46,3
1716368945,44,3
1716368955,62,2
1716368965,71,1
1716368975,66,1
1716368985,46,1
1716368995,45,3
1716369005,58,1
1716369015,45,4
1716369025,47,4
1716369035,52,4
1716369045,46,3
1716369055,56,3
1716369065,50,3
1716369075,47,3
1716369085,49,4
1716369095,47,4
1716369105,50,4
1716369115,47,3
1716369125,51,3
1716369135,52,3
1716369145,52,2
1716369155,53,2
1716369165,52,2
1716369175,52,2
1716369185,51,1
1716369195,50,1
1716369205,52,2
1716369215,52,2
1716369225,48,4
1716369235,51,4
1716369245,56,2
1716369255,56,1
1716369265,61,1
1716369275,57,1
1716369285,53,2
1716369295,56,2
1716369305,54,2
1716369315,54,1
1716369325,51,2
1716369335,49,3
1716369345,51,3
1716369355,50,3
1716369365,48,3
1716369375,47,3
1716369385,48,4
1716369395,48,4
1716369405,55,4
1716369415,51,3
1716369425,50,3
1716369435,49,3
1716369445,47,4
1716369455,50,3
1716369465,50,3
1716369475,56,3
1716369485,54,4
1716369495,50,4
1716369505,53,4
1716369515,49,3
1716369525,49,4
1716369535,48,4
1716369545,50,4
1716369555,49,4
1716369565,48,4
1716369575,48,4
1716369585,51,3
1716369595,47,3
1716369605,47,4
1716369615,48,4
1716369625,48,4
1716369635,53,4
1716369645,50,4
1716369655,52,4
1716369665,49,4
1716369675,51,4
1716369685,48,4
1716369695,47,4
1716369705,47,4
1716369715,46,4
1716369725,46,4
1716369735,46,4
1716369745,46,3
1716369755,51,3
1716369765,50,4
1716369775,50,4
1716369785,51,3
1716369795,49,2
1716369805,55,2
1716369815,72,2
1716369825,54,3
1716369835,49,4
1716369845,46,4
1716369855,53,3
1716369865,54,2
1716369875,61,2
1716369885,60,1
1716369895,52,2
1716369905,53,4
1716369915,57,4
1716369925,54,3
1716369935,60,2
1716369945,56,2
1716369955,48,3
1716369965,52,3
1716369975,51,3
1716369985,53,2
1716369995,56,3
1716370005,59,2
1716370015,65,1
1716370025,78,1
1716370035,75,1
1716370045,62,1
1716370055,54,2
1716370065,56,3
1716370075,57,2
1716370085,54,2
1716370095,60,1
1716370105,53,3
1716370115,56,3
1716370125,66,2
1716370135,62,2
1716370145,57,2
1716370155,61,2
1716370165,62,2
1716370175,58,2
1716370185,49,3
1716370195,49,3
1716370205,56,2
1716370215,65,2
1716370225,52,2
1716370235,48,3
1716370245,51,4
1716370255,58,4
1716370265,58,2
1716370275,55,2
1716370285,52,4
1716370295,56,4
1716370305,58,3
1716370315,57,2
1716370325,59,2
1716370335,55,2
1716370345,59,2
1716370355,68,1
1716370365,61,1
1716370375,56,1
1716370385,56,2
1716370395,57,2
1716370405,58,3
1716370415,51,4
1716370425,48,4
1716370435,50,4
1716370445,47,4
1716370455,49,4
1716370465,49,3
1716370475,49,4
1716370485,50,4
1716370495,48,4
1716370505,46,4
1716370515,48,3
1716370525,54,2
1716370535,64,1
1716370545,67,1
1716370555,50,1
1716370565,50,2
1716370575,49,2
1716370585,48,3
1716370595,49,4
1716370605,49,4
1716370615,50,4
1716370625,50,4
1716370635,52,4
1716370645,50,4
1716370655,58,4
1716370665,57,3
1716370675,58,2
1716370685,57,2
1716370695,58,2
1716370705,53,4
1716370715,67,4
1716370725,64,3
1716370735,52,3
1716370745,53,4
1716370755,56,4
1716370765,59,4
1716370775,53,4
1716370785,55,4
1716370795,50,2
1716370805,51,2
1716370815,52,2
1716370825,59,1
1716370835,55,1
1716370845,63,2
1716370855,69,2
1716370865,65,2
1716370875,53,4
1716370885,50,4
1716370895,53,4
1716370905,54,1
1716370915,52,1
1716370925,56,2
1716370935,53,2
1716370945,55,2
1716370955,58,1
1716370965,58,1
1716370975,54,1
1716370985,47,2
1716370995,55,2
1716371005,54,3
1716371015,53,3
1716371025,57,2
1716371035,53,2
1716371045,55,2
1716371055,59,1
1716371065,59,1
1716371075,54,2
1716371085,48,2
1716371095,46,3
1716371105,45,4
1716371115,47,2
1716371125,51,1
1716371135,49,4
1716371145,60,4
1716371155,61,3
1716371165,57,2
1716371175,67,1
1716371185,66,1
1716371195,54,2
1716371205,64,3
1716371215,63,2
1716371225,71,1
1716371235,76,2
1716371245,62,2
1716371255,59,1
1716371265,58,1
1716371275,58,1
1716371285,54,1
1716371295,59,3
1716371305,55,3
