timestamp,value,quality_indicator
1678803695,80,1
1678803706,82,0
1678803716,85,1
1678803726,67,1
1678803736,61,2
1678803746,61,3
1678803756,62,3
1678803766,69,4
1678803776,74,4
1678803786,60,4
1678803796,69,3
1678803806,65,3
1678803816,67,2
1678803826,56,2
1678803836,55,4
1678803846,57,3
1678803856,60,3
1678803866,66,2
1678803876,64,2
1678803886,59,3
1678803896,61,4
1678803906,58,4
1678803916,61,4
1678803926,59,4
1678803936,61,4
1678803946,70,2
1678803956,71,1
1678803966,62,2
1678803976,62,3
1678803986,58,4
1678803996,59,4
1678804006,58,4
1678804016,56,4
1678804026,57,4
1678804036,65,3
1678804046,66,2
1678804056,62,2
1678804066,65,3
1678804076,67,4
1678804086,59,4
1678804096,66,4
1678804106,60,4
1678804116,59,3
1678804126,56,2
1678804136,57,4
1678804146,57,4
1678804156,63,3
1678804166,70,4
1678804176,61,4
1678804186,64,4
1678804196,70,4
1678804206,62,4
1678804216,58,4
1678804226,69,3
1678804236,56,2
1678804246,57,2
1678804256,59,4
1678804266,61,4
1678804276,61,3
1678804286,58,4
1678804296,61,4
1678804306,63,3
1678804316,65,2
1678804326,65,2
1678804336,67,2
1678804346,71,3
1678804356,64,3
1678804366,60,3
1678804376,64,2
1678804386,61,2
1678804396,61,2
1678804406,61,2
1678804416,63,3
1678804426,69,3
1678804436,58,3
1678804446,66,2
1678804456,64,2
1678804466,58,3
1678804476,57,4
1678804486,59,4
1678804496,61,4
1678804506,61,4
1678804516,62,4
1678804526,72,4
1678804536,62,4
1678804546,62,4
1678804556,60,4
1678804566,72,4
1678804576,70,3
1678804586,69,3
1678804596,60,3
1678804606,61,4
1678804616,59,4
1678804626,59,4
1678804636,58,3
1678804646,66,2
1678804656,69,1
1678804666,74,1
1678804676,75,1
1678804686,79,1
1678804696,58,1
1678804706,57,2
1678804716,65,3
1678804726,65,3
1678804736,70,3
1678804746,70,2
1678804756,67,1
1678804766,64,2
1678804776,63,2
1678804786,64,1
1678804796,63,1
1678804806,61,2
1678804816,61,3
1678804826,67,1
1678804836,65,2
1678804846,60,3
1678804856,60,3
1678804866,64,2
1678804876,65,2
1678804886,68,1
1678804896,72,1
1678804906,60,1
1678804916,57,3
1678804926,57,3
1678804936,60,1
1678804946,61,1
1678804956,62,4
1678804966,63,2
1678804976,61,2
1678804986,63,2
1678804996,67,1
1678805006,67,0
1678805016,64,0
1678805026,63,1
1678805036,56,1
1678805046,65,2
1678805056,64,3
1678805066,56,3
1678805076,66,2
1678805086,66,3
1678805096,63,2
1678805106,60,3
1678805116,62,3
1678805126,59,3
1678805136,61,4
1678805146,59,4
1678805156,56,2
1678805166,64,2
1678805176,56,3
1678805186,59,3
1678805196,58,3
1678805206,63,4
1678805216,60,2
1678805226,66,1
1678805236,69,0
1678805246,74,2
1678805256,64,2
1678805266,68,1
1678805276,63,3
1678805286,64,1
1678805296,67,1
1678805306,75,1
1678805316,68,2
1678805326,68,3
1678805336,73,2
1678805346,70,1
1678805356,65,2
1678805366,61,3
1678805376,64,3
1678805386,63,1
1678805396,61,2
1678805406,60,3
1678805416,61,3
1678805426,58,3
1678805436,59,3
1678805446,59,3
1678805456,69,2
1678805466,63,1
1678805476,58,2
1678805486,59,3
1678805496,55,3
1678805506,55,3
1678805516,53,3
1678805526,55,3
1678805536,52,3
1678805546,55,2
1678805556,57,2
1678805566,54,2
1678805576,59,1
1678805586,61,2
1678805596,60,1
1678805606,68,1
1678805616,65,2
1678805626,62,1
1678805636,66,1
1678805646,68,1
1678805656,68,1
1678805666,85,2
1678805676,81,1
1678805686,59,1
1678805696,62,3
1678805706,58,3
1678805716,60,1
1678805726,61,2
1678805736,56,2
1678805746,57,1
1678805756,60,1
1678805766,58,3
1678805776,60,3
1678805786,63,2
1678805796,61,2
1678805806,55,3
1678805816,56,3
1678805826,55,3
1678805836,54,2
1678805846,64,2
1678805856,59,3
1678805866,62,3
1678805876,68,2
1678805886,61,2
1678805896,63,3
1678805906,67,3
1678805916,84,1
1678805926,84,1
1678805936,83,1
1678805946,85,1
1678805956,78,1
1678805966,79,1
1678805976,67,1
1678805986,68,2
1678805996,68,1
1678806006,57,1
1678806016,57,2
1678806026,53,2
1678806036,57,1
1678806046,65,1
1678806056,54,1
1678806066,61,2
1678806076,59,3
1678806086,65,2
1678806096,60,3
1678806106,73,2
1678806116,76,1
1678806126,62,1
1678806136,75,2
1678806146,67,2
1678806156,68,1
1678806166,66,1
1678806176,72,1
1678806186,83,1
1678806196,82,1
1678806206,75,1
1678806216,69,1
1678806226,62,2
1678806236,60,2
1678806246,60,1
1678806256,69,1
1678806266,71,1
1678806276,74,1
1678806286,72,1
1678806296,80,2
1678806306,73,2
1678806316,60,1
1678806326,61,3
1678806336,70,2
1678806346,63,2
1678806356,62,2
1678806366,67,2
1678806376,68,1
1678806386,74,1
1678806396,63,2
1678806406,59,3
1678806416,65,3
1678806426,71,2
1678806436,76,1
1678806446,81,1
1678806456,68,0
1678806466,67,1
1678806476,68,2
1678806486,70,1
1678806496,74,1
1678806506,60,1
1678806516,60,3
1678806526,58,3
1678806536,66,2
1678806546,65,2
1678806556,60,3
1678806566,57,4
1678806576,56,4
1678806586,57,4
1678806596,61,4
