timestamp,value,quality_indicator
1716367406,0.0,0
1716367490,20.0,1
1716367491,0.0,0
1716367532,15.0,1
1716367536,15.25,1
1716367540,15.5,1
1716367543,15.75,1
1716367547,16.0,1
1716367552,16.25,1
1716367556,16.5,1
1716367563,16.25,1
1716367573,14.75,3
1716367574,12.5,4
1716367575,11.5,4
1716367576,11.0,4
1716367580,11.25,4
1716367581,11.5,4
1716367582,11.75,4
1716367584,12.0,4
1716367586,12.25,4
1716367589,12.25,3
1716367590,12.5,3
1716367592,12.5,2
1716367594,12.75,2
1716367595,12.75,1
1716367596,12.5,1
1716367601,13.5,3
1716367602,14.5,3
1716367603,15.25,3
1716367604,15.5,2
1716367605,15.75,2
1716367606,16.0,2
1716367607,16.25,2
1716367608,16.5,2
1716367609,16.75,2
1716367610,17.0,2
1716367611,17.25,2
1716367612,17.75,2
1716367613,17.75,1
1716367614,0.0,0
1716367731,20.5,1
1716367732,20.25,1
1716367734,20.0,1
1716367736,19.75,1
1716367738,19.5,1
1716367739,19.0,2
1716367740,18.5,2
1716367741,18.0,2
1716367742,17.75,2
1716367743,17.25,2
1716367744,17.25,1
1716367746,17.0,1
1716367747,16.75,2
1716367748,16.5,2
1716367749,16.0,2
1716367750,15.75,2
1716367751,15.5,2
1716367752,15.25,2
1716367753,15.0,2
1716367754,14.75,2
1716367755,14.25,2
1716367756,14.0,2
1716367757,13.75,2
1716367758,13.0,3
1716367759,12.25,3
1716367760,12.0,3
1716367761,11.5,3
1716367762,11.0,4
1716367763,10.75,4
1716367764,10.5,4
1716367765,10.25,4
1716367767,10.25,3
1716367772,10.25,2
1716367774,10.0,2
1716367782,10.0,1
1716367792,9.75,2
1716367794,9.25,3
1716367795,9.0,4
1716367796,8.75,4
1716367797,8.5,4
1716367800,8.25,4
1716367801,8.25,3
1716367803,8.25,2
1716367804,8.0,2
1716367807,8.0,1
1716367813,8.0,2
1716367814,7.75,2
1716367817,7.75,3
1716367818,7.5,3
1716367820,7.75,4
1716367825,7.75,3
1716367828,7.5,3
1716367832,7.5,2
1716367833,7.75,2
1716367834,8.0,3
1716367835,8.25,3
1716367836,8.25,2
1716367837,8.5,2
1716367838,8.5,1
1716367843,8.75,1
1716367850,9.0,1
1716367851,9.5,2
1716367852,10.0,2
1716367853,10.5,2
1716367854,11.0,2
1716367855,11.25,2
1716367856,11.5,2
1716367857,11.75,2
1716367858,12.0,2
1716367859,12.25,2
1716367862,12.25,3
1716367863,12.5,3
1716367864,12.5,4
1716367865,0.0,0
1716367945,13.25,3
1716367946,13.5,3
1716367947,13.75,3
1716367948,14.0,3
1716367951,14.0,4
1716367953,13.75,4
1716367955,13.5,4
1716367959,13.25,4
1716367963,13.5,4
1716367967,13.75,4
1716367969,14.0,4
1716367971,14.25,4
1716367972,14.5,4
1716367973,14.75,4
1716367974,15.0,4
1716367976,15.25,4
1716367978,15.0,4
1716367980,14.75,4
1716367982,14.5,4
1716367983,14.25,4
1716367984,14.0,4
1716367986,13.75,4
1716367991,14.0,4
1716367993,0.0,0
1716368045,12.5,4
1716368046,11.5,4
1716368047,11.0,4
1716368048,10.75,4
1716368049,10.5,4
1716368053,10.25,4
1716368057,10.75,4
1716368058,11.0,3
1716368060,11.0,2
1716368061,11.25,2
1716368062,11.25,1
1716368066,11.5,1
1716368073,11.25,2
1716368074,11.0,2
1716368075,10.75,3
1716368076,10.5,3
1716368077,10.25,4
1716368078,10.0,4
1716368079,9.75,4
1716368080,9.5,4
1716368081,9.25,4
1716368082,9.0,3
1716368083,8.75,3
1716368085,8.75,2
1716368086,8.5,2
1716368088,8.25,2
1716368089,8.25,1
1716368090,8.0,1
1716368096,7.75,1
1716368098,7.5,2
1716368100,7.25,2
1716368103,7.25,1
1716368106,7.25,2
1716368107,0.0,0
1716368139,7.25,2
1716368140,7.5,2
1716368141,7.75,2
1716368143,8.25,3
1716368144,8.5,3
1716368145,8.75,3
1716368146,9.0,3
1716368148,9.25,3
1716368149,9.75,3
1716368150,9.75,2
1716368151,10.0,2
1716368152,10.25,2
1716368154,10.5,2
1716368156,10.75,2
1716368160,11.0,2
1716368163,0.0,0
1716368288,11.0,2
1716368289,10.75,2
1716368290,10.25,3
1716368291,10.0,3
1716368292,9.75,3
1716368293,9.5,4
1716368297,9.5,3
1716368299,9.75,3
1716368300,0.0,0
1716368354,10.25,2
1716368355,10.75,2
1716368356,11.25,2
1716368357,11.75,2
