timestamp,value,quality_indicator
1678803686,0.0,0
1678803774,19.75,1
1678803775,18.75,2
1678803776,18.0,2
1678803777,16.0,3
1678803778,14.25,3
1678803779,13.0,3
1678803780,11.0,4
1678803781,10.0,4
1678803782,9.5,4
1678803785,9.75,4
1678803786,10.0,4
1678803788,10.25,4
1678803789,10.5,4
1678803790,10.75,4
1678803791,11.0,4
1678803792,11.25,4
1678803793,11.5,4
1678803794,11.75,4
1678803795,0.0,0
1678803994,11.0,4
1678803995,10.75,4
1678803997,11.0,4
1678803998,11.25,4
1678803999,11.75,4
1678804000,12.0,4
1678804001,12.25,4
1678804002,12.5,4
1678804004,12.75,4
1678804008,13.0,4
1678804012,13.25,4
1678804015,13.5,4
1678804019,13.75,4
1678804029,0.0,0
1678804098,15.0,4
1678804099,15.75,4
1678804100,15.75,3
1678804101,16.0,3
1678804102,16.25,3
1678804105,0.0,0
1678804199,16.0,2
1678804200,16.0,1
1678804202,15.75,1
1678804205,15.5,2
1678804206,15.25,2
1678804207,15.0,2
1678804208,14.75,2
1678804209,14.5,2
1678804211,14.25,2
1678804213,14.0,2
1678804215,13.75,2
1678804217,13.5,2
1678804219,13.25,2
1678804221,13.0,2
1678804223,12.75,3
1678804224,0.0,0
1678804481,12.25,3
1678804482,13.0,4
1678804483,13.25,4
1678804484,13.5,4
1678804486,13.75,4
1678804489,14.0,4
1678804496,13.75,4
1678804499,13.5,4
1678804505,0.0,0
1678804535,13.75,4
1678804536,14.0,4
1678804537,14.0,3
1678804538,14.0,2
1678804539,14.25,2
1678804540,14.0,1
1678804541,13.25,3
1678804542,13.25,2
1678804543,13.0,2
1678804546,13.0,1
1678804551,13.0,2
1678804554,13.0,3
1678804558,13.0,4
1678804565,13.0,3
1678804567,13.25,4
1678804568,13.5,4
1678804569,13.75,4
1678804570,0.0,0
1678805151,14.25,3
1678805152,0.0,0
1678805154,15.25,2
1678805156,0.0,0
1678805198,15.25,2
1678805199,14.75,2
1678805200,14.5,2
1678805201,14.25,2
1678805202,14.0,2
1678805203,13.75,2
1678805204,13.5,2
1678805205,13.25,1
1678805208,0.0,0
1678806570,10.5,1
1678806571,11.0,2
1678806572,12.0,3
1678806573,13.5,4
1678806574,14.25,4
1678806575,14.5,4
1678806582,14.75,4
1678806584,15.0,4
1678806585,15.25,4
1678806586,15.5,4
1678806587,15.75,4
1678806588,16.0,4
1678806590,16.75,4
1678806591,17.25,4
1678806592,17.5,3
1678806593,17.75,3
1678806594,17.75,2
1678806596,18.0,2
