timestamp,value,quality_indicator
1716367410,1.410,4
1716367415,1.807,4
1716367420,4.404,4
1716367425,0.953,4
1716367430,1.042,4
1716367435,0.638,4
1716367440,0.966,4
1716367445,1.062,4
1716367450,1.108,4
1716367455,1.141,4
1716367460,1.163,4
1716367465,1.177,4
1716367470,1.195,4
1716367475,0.862,4
1716367480,0.749,4
1716367485,0.825,4
1716367490,1.123,4
1716367495,1.197,4
1716367500,1.213,4
1716367505,1.224,4
1716367510,1.232,4
1716367515,1.242,4
1716367520,1.252,4
1716367525,1.263,4
1716367530,1.278,4
1716367535,1.289,4
1716367540,1.306,4
1716367545,1.320,4
1716367550,1.330,4
1716367555,1.339,4
1716367560,1.348,4
1716367565,1.356,4
1716367570,1.364,4
1716367575,1.371,4
1716367580,1.379,4
1716367585,1.386,4
1716367590,1.393,4
1716367595,1.400,4
1716367600,1.409,4
1716367605,1.453,4
1716367610,1.500,4
1716367615,1.509,4
1716367620,1.517,4
1716367625,1.538,4
1716367630,1.530,4
1716367635,1.534,4
1716367640,1.542,4
1716367645,1.577,4
1716367650,1.586,4
1716367655,1.597,4
1716367660,1.604,4
1716367665,1.607,4
1716367670,1.614,4
1716367675,1.624,4
1716367680,1.626,4
1716367685,1.635,4
1716367690,1.639,4
1716367695,1.643,4
1716367700,1.648,4
1716367705,1.649,4
1716367710,1.655,4
1716367715,1.659,4
1716367720,1.663,4
1716367725,1.668,4
1716367730,1.672,4
1716367735,1.675,4
1716367740,1.678,4
1716367745,1.682,4
1716367750,1.687,4
1716367755,1.690,4
1716367760,1.694,4
1716367765,1.697,4
1716367770,1.701,4
1716367775,1.705,4
1716367780,1.708,4
1716367785,1.711,4
1716367790,1.714,4
1716367795,1.718,4
1716367800,1.722,4
1716367805,1.735,4
1716367810,1.748,4
1716367815,1.749,4
1716367820,1.752,4
1716367825,1.755,4
1716367830,1.759,4
1716367835,1.763,4
1716367840,1.767,4
1716367845,1.769,4
1716367850,1.771,4
1716367855,1.778,4
1716367860,1.789,4
1716367865,1.795,4
1716367870,1.800,4
1716367875,1.802,4
1716367880,1.800,4
1716367885,1.804,4
1716367890,1.808,4
1716367895,1.810,4
1716367900,1.813,4
1716367905,1.815,4
1716367910,1.818,4
1716367915,1.820,4
1716367920,1.824,4
1716367925,1.825,4
1716367930,1.829,4
1716367935,1.832,4
1716367940,1.834,4
1716367945,1.837,4
1716367950,1.839,4
1716367955,1.842,4
1716367960,1.844,4
1716367965,1.846,4
1716367970,1.849,4
1716367975,1.851,4
1716367980,1.853,4
1716367985,1.856,4
1716367990,1.859,4
1716367995,1.864,4
1716368000,1.865,4
1716368005,1.868,4
1716368010,1.871,4
1716368015,1.874,4
1716368020,1.882,4
1716368025,1.885,4
1716368030,1.887,4
1716368035,1.889,4
1716368040,1.892,4
1716368045,1.891,4
1716368050,1.894,4
1716368055,1.897,4
1716368060,1.899,4
1716368065,1.901,4
1716368070,1.903,4
1716368075,1.905,4
1716368080,1.907,4
1716368085,1.908,4
1716368090,1.911,4
1716368095,1.912,4
1716368100,1.913,4
1716368105,1.921,4
1716368110,1.925,4
1716368115,1.927,4
1716368120,1.929,4
1716368125,1.931,4
1716368130,1.933,4
1716368135,1.935,4
1716368140,1.933,4
1716368145,1.937,4
1716368150,1.940,4
1716368155,1.943,4
1716368160,1.946,4
1716368165,1.949,4
1716368170,1.948,4
1716368175,1.940,4
1716368180,1.942,4
1716368185,1.942,4
1716368190,1.944,4
1716368195,1.945,4
1716368200,1.947,4
1716368205,1.948,4
1716368210,1.952,4
1716368215,1.953,4
1716368220,1.955,4
1716368225,1.957,4
1716368230,1.961,4
1716368235,1.960,4
1716368240,1.962,4
1716368245,1.969,4
1716368250,1.973,4
1716368255,1.975,4
1716368260,1.982,4
1716368265,1.984,4
1716368270,1.986,4
1716368275,1.988,4
1716368280,1.989,4
1716368285,1.991,4
1716368290,1.993,4
1716368295,2.004,4
1716368300,2.008,4
1716368305,2.011,4
1716368310,2.013,4
1716368315,2.016,4
1716368320,2.028,4
1716368325,2.015,4
1716368330,2.015,4
1716368335,2.016,4
1716368340,2.017,4
1716368345,2.018,4
1716368350,2.020,4
1716368355,2.021,4
1716368360,2.026,4
1716368365,2.026,4
1716368370,2.026,4
1716368375,2.027,4
1716368380,2.028,4
1716368385,2.002,4
1716368390,2.008,4
1716368395,2.009,4
1716368400,2.009,4
1716368405,2.011,4
1716368410,2.034,4
1716368415,2.047,4
1716368420,2.049,4
1716368425,2.051,4
1716368430,2.053,4
1716368435,2.062,4
1716368440,2.063,4
1716368445,2.063,4
1716368450,2.064,4
1716368455,2.065,4
1716368460,2.042,4
1716368465,2.030,4
1716368470,2.039,4
1716368475,2.060,4
1716368480,2.061,4
1716368485,2.060,4
1716368490,2.061,4
1716368495,2.061,4
1716368500,2.062,4
1716368505,2.047,4
1716368510,1.970,4
1716368515,1.965,4
1716368520,1.990,4
1716368525,2.006,4
1716368530,2.001,4
1716368535,2.001,4
1716368540,2.001,4
1716368545,2.009,4
1716368550,2.026,4
1716368555,2.025,4
1716368560,2.049,4
1716368565,2.047,4
1716368570,2.045,4
1716368575,2.044,4
1716368580,2.046,4
1716368585,2.046,4
1716368590,2.044,4
1716368595,2.038,4
1716368600,2.044,4
1716368605,2.046,4
1716368610,2.042,4
1716368615,2.043,4
1716368620,2.057,4
1716368625,2.061,4
1716368630,2.063,4
1716368635,2.062,4
1716368640,2.066,4
1716368645,2.068,4
1716368650,2.069,4
1716368655,2.071,4
1716368660,2.072,4
1716368665,2.073,4
1716368670,2.074,4
1716368675,2.075,4
1716368680,2.077,4
1716368685,2.080,4
1716368690,2.082,4
1716368695,2.083,4
1716368700,2.086,4
1716368705,2.087,4
1716368710,2.087,4
1716368715,2.088,4
1716368720,2.089,4
1716368725,2.091,4
1716368730,2.092,4
1716368735,2.093,4
1716368740,2.089,4
1716368745,2.092,4
1716368750,2.096,4
1716368755,2.200,4
1716368760,2.152,4
1716368765,2.140,4
1716368770,2.138,4
1716368775,2.136,4
1716368780,2.143,4
1716368785,2.156,4
1716368790,2.155,4
1716368795,2.153,4
1716368800,2.150,4
1716368805,2.150,4
1716368810,2.153,4
1716368815,2.156,4
1716368820,2.154,4
1716368825,2.154,4
1716368830,2.151,4
1716368835,2.158,4
1716368840,2.144,4
1716368845,2.167,4
1716368850,2.164,4
1716368855,2.168,4
1716368860,2.149,4
1716368865,2.154,4
1716368870,2.154,4
1716368875,2.156,4
1716368880,2.163,4
1716368885,2.157,4
1716368890,2.155,4
1716368895,2.155,4
1716368900,2.155,4
1716368905,2.153,4
1716368910,2.163,4
1716368915,2.161,4
1716368920,2.162,4
1716368925,2.165,4
1716368930,2.160,4
1716368935,2.161,4
1716368940,2.163,4
1716368945,2.166,4
1716368950,2.170,4
1716368955,2.171,4
1716368960,2.165,4
1716368965,2.166,4
1716368970,2.170,4
1716368975,2.169,4
1716368980,2.169,4
1716368985,2.175,4
1716368990,2.178,4
1716368995,2.179,4
1716369000,2.173,4
1716369005,2.175,4
1716369010,2.175,4
1716369015,2.175,4
1716369020,2.175,4
1716369025,2.175,4
1716369030,2.165,4
1716369035,2.161,4
1716369040,2.159,4
1716369045,2.160,4
1716369050,2.167,4
1716369055,2.167,4
1716369060,2.168,4
1716369065,2.169,4
1716369070,2.170,4
1716369075,2.171,4
1716369080,2.171,4
1716369085,2.171,4
1716369090,2.172,4
1716369095,2.170,4
1716369100,2.169,4
1716369105,2.157,4
1716369110,2.146,4
1716369115,2.142,4
1716369120,2.137,4
1716369125,2.147,4
1716369130,2.146,4
1716369135,2.163,4
1716369140,2.167,4
1716369145,2.168,4
1716369150,2.170,4
1716369155,2.171,4
1716369160,2.168,4
1716369165,2.171,4
1716369170,2.172,4
1716369175,2.175,4
1716369180,2.176,4
1716369185,2.175,4
1716369190,2.177,4
1716369195,2.179,4
1716369200,2.180,4
1716369205,2.178,4
1716369210,2.178,4
1716369215,2.179,4
1716369220,2.180,4
1716369225,2.181,4
1716369230,2.180,4
1716369235,2.181,4
1716369240,2.193,4
1716369245,2.192,4
1716369250,2.195,4
1716369255,2.196,4
1716369260,2.195,4
1716369265,2.190,4
1716369270,2.187,4
1716369275,2.185,4
1716369280,2.187,4
1716369285,2.193,4
1716369290,2.194,4
1716369295,2.196,4
1716369300,2.196,4
1716369305,2.196,4
1716369310,2.175,4
1716369315,2.169,4
1716369320,2.165,4
1716369325,2.172,4
1716369330,2.172,4
1716369335,2.174,4
1716369340,2.174,4
1716369345,2.188,4
1716369350,2.193,4
1716369355,2.179,4
1716369360,2.185,4
1716369365,2.190,4
1716369370,2.189,4
1716369375,2.191,4
1716369380,2.191,4
1716369385,2.192,4
1716369390,2.194,4
1716369395,2.194,4
1716369400,2.195,4
1716369405,2.199,4
1716369410,2.200,4
1716369415,2.196,4
1716369420,2.179,4
1716369425,2.168,4
1716369430,2.167,4
1716369435,2.163,4
1716369440,2.164,4
1716369445,2.164,4
1716369450,2.164,4
1716369455,2.161,4
1716369460,2.178,4
1716369465,2.179,4
1716369470,2.182,4
1716369475,2.190,4
1716369480,2.193,4
1716369485,2.195,4
1716369490,2.196,4
1716369495,2.196,4
1716369500,2.194,4
1716369505,2.197,4
1716369510,2.201,4
1716369515,2.202,4
1716369520,2.203,4
1716369525,2.203,4
1716369530,2.205,4
1716369535,2.207,4
1716369540,2.212,4
1716369545,2.213,4
1716369550,2.214,4
1716369555,2.215,4
1716369560,2.216,4
1716369565,2.217,4
1716369570,2.217,4
1716369575,2.208,4
1716369580,2.205,4
1716369585,2.209,4
1716369590,2.210,4
1716369595,2.211,4
1716369600,2.212,4
1716369605,2.213,4
1716369610,2.213,4
1716369615,2.213,4
1716369620,2.214,4
1716369625,2.214,4
1716369630,2.215,4
1716369635,2.215,4
1716369640,2.215,4
1716369645,2.216,4
1716369650,2.217,4
1716369655,2.217,4
1716369660,2.217,4
1716369665,2.217,4
1716369670,2.218,4
1716369675,2.218,4
1716369680,2.219,4
1716369685,2.219,4
1716369690,2.220,4
1716369695,2.220,4
1716369700,2.220,4
1716369705,2.219,4
1716369710,2.220,4
1716369715,2.221,4
1716369720,2.222,4
1716369725,2.224,4
1716369730,2.224,4
1716369735,2.225,4
1716369740,2.226,4
1716369745,2.334,4
1716369750,2.254,4
1716369755,2.242,4
1716369760,2.238,4
1716369765,2.237,4
1716369770,2.236,4
1716369775,2.216,4
1716369780,2.219,4
1716369785,2.228,4
1716369790,2.229,4
1716369795,2.223,4
1716369800,2.221,4
1716369805,2.265,4
1716369810,2.256,4
1716369815,2.238,4
1716369820,2.224,4
1716369825,2.223,4
1716369830,2.223,4
1716369835,2.234,4
1716369840,2.239,4
1716369845,2.241,4
1716369850,2.249,4
1716369855,2.249,4
1716369860,2.257,4
1716369865,2.241,4
1716369870,2.231,4
1716369875,2.229,4
1716369880,1.972,4
1716369885,2.193,4
1716369890,2.251,4
1716369895,2.253,4
1716369900,2.255,4
1716369905,2.261,4
1716369910,2.268,4
1716369915,2.267,4
1716369920,2.266,4
1716369925,2.268,4
1716369930,2.269,4
1716369935,2.267,4
1716369940,2.268,4
1716369945,2.268,4
1716369950,2.269,4
1716369955,2.269,4
1716369960,2.270,4
1716369965,2.269,4
1716369970,2.272,4
1716369975,2.253,4
1716369980,2.240,4
1716369985,2.239,4
1716369990,2.245,4
1716369995,2.266,4
1716370000,2.273,4
1716370005,2.281,4
1716370010,2.267,4
1716370015,2.268,4
1716370020,2.277,4
1716370025,2.270,4
1716370030,2.257,4
1716370035,2.275,4
1716370040,2.276,4
1716370045,2.271,4
1716370050,2.280,4
1716370055,2.282,4
1716370060,2.284,4
1716370065,2.288,4
1716370070,2.287,4
1716370075,2.290,4
1716370080,2.289,4
1716370085,2.284,4
1716370090,2.284,4
1716370095,2.282,4
1716370100,2.293,4
1716370105,2.297,4
1716370110,2.295,4
1716370115,2.296,4
1716370120,2.300,4
1716370125,2.266,4
1716370130,2.250,4
1716370135,2.289,4
1716370140,2.289,4
1716370145,2.283,4
1716370150,2.283,4
1716370155,2.280,4
1716370160,2.299,4
1716370165,2.296,4
1716370170,2.301,4
1716370175,2.300,4
1716370180,2.299,4
1716370185,2.300,4
1716370190,2.302,4
1716370195,2.305,4
1716370200,2.308,4
1716370205,2.304,4
1716370210,2.305,4
1716370215,2.308,4
1716370220,2.309,4
1716370225,2.310,4
1716370230,2.310,4
1716370235,2.309,4
1716370240,2.309,4
1716370245,2.311,4
1716370250,2.311,4
1716370255,2.312,4
1716370260,2.315,4
1716370265,2.312,4
1716370270,2.310,4
1716370275,2.311,4
1716370280,2.311,4
1716370285,2.312,4
1716370290,2.313,4
1716370295,2.317,4
1716370300,2.306,4
1716370305,2.320,4
1716370310,2.317,4
1716370315,2.291,4
1716370320,2.292,4
1716370325,2.302,4
1716370330,2.311,4
1716370335,2.313,4
1716370340,2.317,4
1716370345,2.320,4
1716370350,2.325,4
1716370355,2.324,4
1716370360,2.305,4
1716370365,2.316,4
1716370370,2.321,4
1716370375,2.319,4
1716370380,2.315,4
1716370385,2.314,4
1716370390,2.308,4
1716370395,2.326,4
1716370400,2.325,4
1716370405,2.324,4
1716370410,2.324,4
1716370415,2.324,4
1716370420,2.324,4
1716370425,2.324,4
1716370430,2.307,4
1716370435,2.297,4
1716370440,2.296,4
1716370445,2.296,4
1716370450,2.297,4
1716370455,2.307,4
1716370460,2.302,4
1716370465,2.304,4
1716370470,2.303,4
1716370475,2.304,4
1716370480,2.304,4
1716370485,2.303,4
1716370490,2.309,4
1716370495,2.311,4
1716370500,2.310,4
1716370505,2.309,4
1716370510,2.295,4
1716370515,2.300,4
1716370520,2.312,4
1716370525,2.315,4
1716370530,2.309,4
1716370535,2.332,4
1716370540,2.335,4
1716370545,2.320,4
1716370550,2.326,4
1716370555,2.328,4
1716370560,2.323,4
1716370565,2.317,4
1716370570,2.311,4
1716370575,2.307,4
1716370580,2.306,4
1716370585,2.305,4
1716370590,2.304,4
1716370595,2.303,4
1716370600,2.308,4
1716370605,2.319,4
1716370610,2.322,4
1716370615,2.325,4
1716370620,2.330,4
1716370625,2.332,4
1716370630,2.333,4
1716370635,2.334,4
1716370640,2.336,4
1716370645,2.337,4
1716370650,2.331,4
1716370655,2.331,4
1716370660,2.342,4
1716370665,2.339,4
1716370670,2.304,4
1716370675,2.352,4
1716370680,2.337,4
1716370685,2.342,4
1716370690,2.346,4
1716370695,2.348,4
1716370700,2.348,4
1716370705,2.348,4
1716370710,2.347,4
1716370715,2.379,4
1716370720,2.381,4
1716370725,2.378,4
1716370730,2.380,4
1716370735,2.381,4
1716370740,2.382,4
1716370745,2.382,4
1716370750,2.384,4
1716370755,2.385,4
1716370760,2.386,4
1716370765,2.386,4
1716370770,2.388,4
1716370775,2.390,4
1716370780,2.389,4
1716370785,2.388,4
1716370790,2.394,4
1716370795,2.394,4
1716370800,2.396,4
1716370805,2.396,4
