timestamp,value,quality_indicator
1716367415,0,4
1716367425,0,4
1716367435,0,4
1716367445,0,4
1716367455,0,4
1716367465,0,4
1716367475,2,4
1716367485,2,4
1716367495,2,4
1716367505,2,4
1716367515,2,4
1716367525,2,4
1716367535,1,4
1716367545,9,4
1716367555,9,4
1716367565,9,4
1716367575,9,4
1716367585,9,4
1716367595,9,4
1716367605,32,4
1716367615,61,4
1716367625,69,4
1716367635,69,4
1716367645,93,4
1716367655,93,4
1716367665,91,4
1716367675,79,4
1716367685,69,4
1716367695,59,4
1716367705,49,4
1716367715,39,4
1716367725,29,4
1716367735,19,4
1716367745,9,4
1716367755,0,4
1716367765,0,4
1716367775,0,4
1716367785,0,4
1716367795,0,4
1716367805,11,4
1716367815,11,4
1716367825,11,4
1716367835,11,4
1716367845,11,4
1716367855,11,4
1716367865,10,4
1716367875,0,4
1716367885,0,4
1716367895,0,4
1716367905,0,4
1716367915,0,4
1716367925,0,4
1716367935,0,4
1716367945,0,4
1716367955,0,4
1716367965,0,4
1716367975,0,4
1716367985,0,4
1716367995,0,4
1716368005,0,4
1716368015,0,4
1716368025,4,4
1716368035,4,4
1716368045,4,4
1716368055,4,4
1716368065,4,4
1716368075,4,4
1716368085,3,4
1716368095,0,4
1716368105,0,4
1716368115,0,4
1716368125,0,4
1716368135,0,4
1716368145,0,4
1716368155,0,4
1716368165,0,4
1716368175,0,4
1716368185,0,4
1716368195,0,4
1716368205,0,4
1716368215,0,4
1716368225,0,4
1716368235,0,4
1716368245,0,4
1716368255,0,4
1716368265,0,4
1716368275,0,4
1716368285,0,4
1716368295,0,4
1716368305,0,4
1716368315,0,4
1716368325,0,4
1716368335,0,4
1716368345,0,4
1716368355,0,4
1716368365,6,4
1716368375,6,4
1716368385,6,4
1716368395,6,4
1716368405,6,4
1716368415,21,4
1716368425,20,4
1716368435,15,4
1716368445,15,4
1716368455,15,4
1716368465,15,4
1716368475,14,4
1716368485,8,4
1716368495,8,4
1716368505,8,4
1716368515,8,4
1716368525,8,4
1716368535,7,4
1716368545,0,4
1716368555,0,4
1716368565,14,4
1716368575,14,4
1716368585,14,4
1716368595,14,4
1716368605,14,4
1716368615,14,4
1716368625,13,4
1716368635,7,4
1716368645,7,4
1716368655,7,4
1716368665,7,4
1716368675,7,4
1716368685,6,4
1716368695,0,4
1716368705,0,4
1716368715,0,4
1716368725,0,4
1716368735,0,4
1716368745,0,4
1716368755,6,4
1716368765,6,4
1716368775,6,4
1716368785,6,4
1716368795,19,4
1716368805,19,4
1716368815,18,4
1716368825,12,4
1716368835,12,4
1716368845,20,4
1716368855,19,4
1716368865,21,4
1716368875,21,4
1716368885,26,4
1716368895,26,4
1716368905,26,4
1716368915,25,4
1716368925,18,4
1716368935,12,4
1716368945,11,4
1716368955,8,4
1716368965,7,4
1716368975,0,4
1716368985,0,4
1716368995,0,4
1716369005,0,4
1716369015,0,4
1716369025,0,4
1716369035,0,4
1716369045,0,4
1716369055,0,4
1716369065,0,4
1716369075,0,4
1716369085,0,4
1716369095,0,4
1716369105,0,4
1716369115,0,4
1716369125,0,4
1716369135,4,4
1716369145,4,4
1716369155,4,4
1716369165,4,4
1716369175,4,4
1716369185,4,4
1716369195,3,4
1716369205,0,4
1716369215,0,4
1716369225,0,4
1716369235,10,4
1716369245,10,4
1716369255,10,4
1716369265,10,4
1716369275,10,4
1716369285,10,4
1716369295,9,4
1716369305,0,4
1716369315,0,4
1716369325,5,4
1716369335,5,4
1716369345,5,4
1716369355,5,4
1716369365,5,4
1716369375,5,4
1716369385,4,4
1716369395,0,4
1716369405,0,4
1716369415,0,4
1716369425,0,4
1716369435,0,4
