timestamp,value,quality_indicator
1689059980,0,0
1689059989,28,2
1689059991,0,0
1689060083,31,2
1689060084,32,2
1689060085,33,2
1689060086,35,2
1689060088,0,0
1689061793,32,2
1689061795,0,0
1689062019,31,2
1689062022,34,2
1689062024,51,2
1689062026,52,2
1689062027,58,2
1689062028,63,2
1689062029,60,2
1689062030,61,2
1689062032,60,2
1689062033,55,2
1689062034,0,0
1689062183,51,2
1689062185,41,2
1689062188,43,2
1689062193,58,2
1689062195,0,0
1689062531,50,2
1689062532,56,2
1689062533,0,0
1689062587,31,2
1689062588,30,2
1689062591,0,0
1689062760,31,2
1689062761,32,3
1689062763,32,2
1689062764,34,2
1689062765,0,0
1689062805,26,2
1689062806,0,0
1689062807,29,2
1689062809,0,0
1689062815,46,2
1689062816,47,2
1689062817,0,0
1689062979,43,2
1689062980,38,2
1689062981,0,0
1689062987,38,2
1689062989,36,2
1689062992,35,2
1689062993,27,2
1689062995,0,0
1689063057,56,2
1689063058,52,2
1689063059,0,0
1689063079,45,2
1689063080,0,0
1689063285,40,2
1689063287,37,2
1689063289,40,2
1689063290,0,0
1689063306,30,2
1689063308,31,2
1689063309,46,2
1689063310,0,0
1689063312,41,2
1689063313,28,2
1689063314,0,0
1689063315,26,2
1689063316,0,0
1689063328,27,2
1689063329,26,2
1689063330,26,3
1689063332,29,3
1689063333,0,0
1689063349,24,2
1689063351,0,0
1689063428,23,2
1689063429,0,0
1689063436,29,2
1689063438,36,2
1689063441,31,2
1689063442,30,2
1689063443,0,0
1689063448,37,2
1689063449,0,0
1689063457,26,2
1689063460,28,2
1689063461,30,2
1689063466,23,2
1689063468,36,2
1689063469,0,0
1689063619,37,2
1689063620,0,0
1689063625,23,2
1689063626,27,2
1689063627,35,2
1689063628,38,2
1689063629,45,2
1689063632,50,2
1689063633,0,0
1689063694,29,2
1689063697,31,2
1689063699,36,2
1689063701,37,2
1689063702,36,2
1689063704,28,2
1689063707,30,2
1689063708,31,2
1689063709,33,2
1689063712,30,2
1689063713,24,2
1689063716,0,0
1689063794,26,2
1689063795,24,2
1689063797,0,0
1689063802,52,2
1689063803,0,0
1689063848,24,2
1689063849,27,2
1689063851,0,0
1689063977,45,2
1689063979,0,0
1689064048,29,2
1689064051,32,2
1689064052,31,2
1689064053,0,0
1689064116,32,2
1689064117,0,0
1689064119,29,2
1689064121,0,0
1689064123,30,2
1689064125,0,0
1689064140,39,2
1689064142,37,2
1689064143,27,2
1689064145,0,0
1689064301,28,2
1689064304,0,0
1689064326,50,3
1689064328,38,2
1689064329,36,2
1689064330,0,0
1689064358,35,2
1689064359,30,2
1689064362,0,0
1689064393,39,2
1689064394,0,0
1689064433,21,2
1689064434,0,0
1689064552,42,2
1689064554,38,2
1689064556,0,0
1689064909,22,2
1689064910,0,0
1689064932,37,2
1689064935,52,2
1689064936,0,0
1689064978,41,2
1689064979,0,0
1689065092,42,2
1689065093,0,0
1689065130,73,2
1689065131,24,2
1689065133,0,0
1689065134,35,2
1689065135,0,0
1689065439,38,2
1689065440,0,0
1689065441,46,2
1689065443,0,0
1689065495,23,2
1689065496,22,2
1689065499,24,2
1689065500,0,0
1689065520,54,2
1689065521,35,2
1689065522,0,0
1689065561,33,2
1689065562,0,0
1689065612,41,2
1689065613,40,2
1689065614,0,0
1689065663,43,2
1689065664,33,2
1689065665,29,2
1689065668,30,2
1689065669,40,2
1689065671,0,0
1689065672,40,2
1689065674,58,2
1689065675,0,0
1689065676,60,2
1689065678,61,2
1689065680,53,2
1689065681,0,0
1689065695,22,2
1689065696,21,2
1689065698,31,2
1689065699,0,0
1689065731,52,2
1689065732,59,2
1689065733,62,2
1689065734,0,0
1689065737,39,2
1689065738,38,2
1689065739,36,2
1689065741,35,2
1689065742,0,0
1689065748,42,2
1689065749,39,2
1689065750,37,2
1689065751,31,2
1689065752,29,2
1689065753,27,2
1689065754,26,2
1689065755,25,2
1689065757,26,3
1689065758,30,3
1689065760,32,2
1689065761,30,2
1689065764,32,2
1689065765,30,2
1689065766,32,2
1689065767,0,0
1689065771,72,2
1689065772,64,3
1689065773,61,3
1689065774,60,3
1689065776,60,2
1689065778,0,0
1689065779,59,2
1689065780,56,2
1689065781,55,3
1689065784,50,3
1689065785,50,2
1689065790,0,0
1689065804,37,2
1689065805,0,0
1689065817,38,2
1689065818,36,2
1689065819,38,2
1689065820,0,0
1689065853,24,2
1689065855,52,2
1689065858,31,2
1689065861,36,2
1689065862,51,2
1689065863,59,2
1689065864,59,3
1689065865,58,3
1689065867,56,3
1689065868,54,3
1689065871,53,3
1689065872,53,2
1689065873,37,2
1689065876,0,0
1689065877,37,2
1689065879,30,2
1689065881,23,2
1689065885,22,2
1689065889,0,0
1689066032,24,2
1689066033,0,0
1689066035,23,2
1689066036,0,0
1689066126,25,2
1689066127,0,0
1689066325,92,2
1689066326,0,0
1689066358,81,2
1689066359,75,2
1689066360,0,0
1689066367,44,2
1689066368,37,2
1689066369,29,2
1689066372,0,0
1689066402,22,2
1689066403,0,0
1689066470,52,2
1689066471,54,2
1689066472,79,2
1689066473,0,0
1689066520,31,2
1689066521,30,2
1689066522,27,2
1689066523,0,0
1689066537,28,2
1689066539,29,2
1689066541,0,0
1689066637,27,2
1689066638,0,0
1689066639,30,2
1689066642,58,2
1689066643,30,2
1689066644,58,2
1689066647,57,2
1689066649,51,2
1689066650,39,2
1689066651,38,2
1689066654,29,2
1689066655,26,2
1689066656,23,2
1689066659,29,2
1689066662,31,2
1689066663,42,2
1689066664,47,2
1689066665,0,0
1689066677,30,2
1689066680,37,2
1689066682,0,0
1689066686,50,2
1689066687,53,3
1689066690,42,3
1689066692,40,2
1689066694,41,2
1689066695,39,2
1689066697,41,2
1689066698,45,2
1689066701,37,2
1689066704,38,2
1689066705,0,0
1689066710,39,2
1689066714,33,2
1689066716,30,2
1689066717,0,0
1689066718,31,2
1689066720,0,0
1689066762,54,2
1689066763,0,0
1689066772,22,2
1689066774,23,2
1689066775,0,0
1689066817,64,2
1689066819,53,2
1689066822,0,0
1689066825,51,2
1689066827,28,2
1689066828,0,0
1689066833,39,2
1689066835,0,0
1689066844,30,2
1689066845,28,2
1689066847,26,2
1689066848,24,2
1689066850,29,2
1689066851,30,2
1689066852,38,2
1689066853,42,2
1689066854,41,2
1689066858,38,2
1689066859,25,2
1689066861,38,2
1689066862,0,0
1689066864,57,2
1689066865,27,2
1689066868,36,2
1689066869,38,2
1689066871,0,0
1689066873,38,2
1689066874,36,2
1689066875,37,2
1689066877,35,2
1689066879,0,0
1689066899,32,2
1689066900,0,0
1689066940,55,2
1689066941,0,0
1689067229,25,2
1689067232,0,0
1689067290,27,2
1689067292,0,0
1689067453,39,2
1689067455,41,3
1689067456,0,0
1689067463,38,2
1689067464,27,2
1689067467,29,2
1689067468,61,2
1689067471,61,3
1689067473,61,2
1689067474,53,2
1689067477,57,2
1689067478,59,3
1689067485,60,2
1689067486,66,3
1689067487,71,3
1689067489,71,4
1689067491,71,3
1689067492,67,3
1689067493,73,3
1689067494,73,2
1689067495,59,2
1689067496,0,0
1689067497,59,2
1689067498,50,2
1689067501,40,2
1689067502,39,2
1689067503,38,2
1689067504,37,2
1689067506,35,2
1689067507,0,0
1689067509,55,2
1689067510,51,2
1689067514,44,2
1689067516,0,0
1689067532,29,2
1689067533,54,2
1689067534,68,2
1689067536,71,3
1689067538,71,2
1689067539,68,2
1689067540,59,2
1689067541,55,2
1689067542,50,2
1689067543,53,2
1689067547,0,0
1689067548,57,2
1689067549,0,0
1689067560,49,2
1689067561,61,2
1689067562,0,0
1689067570,31,2
1689067571,32,2
1689067574,36,2
1689067576,32,2
1689067577,36,2
1689067579,0,0
1689067586,61,2
1689067587,63,2
1689067589,64,2
1689067590,65,3
1689067591,67,2
1689067594,54,2
1689067595,53,2
1689067597,52,2
1689067598,0,0
1689067633,50,2
1689067634,61,3
1689067636,61,4
1689067639,59,3
1689067640,59,2
1689067642,0,0
1689067654,60,2
1689067655,0,0
1689067659,29,2
1689067660,24,2
1689067661,23,2
1689067664,31,2
1689067665,0,0
1689067669,30,2
1689067671,24,2
1689067676,0,0
1689067680,30,2
1689067683,31,2
1689067684,0,0
1689067689,47,2
1689067690,50,2
1689067693,54,2
1689067695,42,2
1689067696,28,2
1689067697,26,2
1689067698,23,2
1689067701,30,2
1689067702,61,2
1689067704,51,2
1689067706,46,2
1689067707,36,2
1689067709,27,2
1689067710,25,2
1689067712,24,3
1689067713,24,2
1689067714,38,2
1689067715,45,2
1689067717,0,0
1689067725,26,2
1689067728,25,2
1689067730,25,3
1689067731,24,2
1689067733,0,0
1689067743,42,2
1689067744,44,2
1689067746,42,2
1689067747,0,0
1689067764,38,2
1689067766,45,2
1689067769,0,0
1689067770,25,2
1689067772,31,2
1689067773,28,2
1689067780,0,0
1689067797,25,2
1689067800,32,2
1689067801,0,0
1689067802,32,2
1689067804,52,2
1689067805,51,2
1689067806,52,2
1689067807,53,2
1689067808,52,2
1689067809,53,2
1689067810,57,2
1689067812,30,2
1689067813,0,0
1689067821,29,2
1689067823,0,0
1689067834,26,2
1689067835,29,2
1689067836,31,2
1689067837,39,2
1689067839,0,0
1689067841,27,2
1689067842,25,2
1689067843,22,2
1689067844,25,2
1689067846,31,2
1689067848,0,0
1689067849,48,2
1689067852,41,2
1689067855,0,0
1689067860,54,2
1689067861,46,2
1689067862,41,2
1689067864,37,2
1689067866,26,2
1689067870,30,2
1689067872,24,2
1689067874,30,2
1689067875,24,2
1689067876,32,2
