timestamp,value,body_position,quality_indicator
1689059983,5915,2,4
1689059987,696,2,4
1689059991,1147,2,4
1689059995,477,2,4
1689059999,2381,2,4
1689060003,134,2,4
1689060007,671,2,4
1689060011,142,2,4
1689060015,1065,2,4
1689060019,2029,2,4
1689060023,881,2,4
1689060027,2214,2,4
1689060031,849,2,4
1689060035,534,2,4
1689060039,5196,2,4
1689060043,2751,2,4
1689060047,448,2,4
1689060051,1791,2,4
1689060055,598,2,4
1689060059,254,2,4
1689060063,583,2,4
1689060067,2033,2,4
1689060071,272,2,4
1689060075,1834,2,4
1689060079,4116,2,4
1689060083,5404,2,4
1689060087,35,2,4
1689060594,36,2,4
1689060598,307,2,4
1689060602,19,2,4
1689060606,22,2,4
1689060610,16,2,4
1689060614,14,2,4
1689061442,23,2,4
1689061446,306,2,4
1689061450,15,2,4
1689061454,14,2,4
1689061458,15,2,4
1689061462,13,2,4
1689061696,30,2,4
1689061700,307,2,4
1689061704,17,2,4
1689061708,15,2,4
1689061712,18,2,4
1689061716,22,2,4
1689061756,4385,2,4
1689061760,2865,2,4
1689061764,4283,2,4
1689061768,1609,2,4
1689061772,839,2,4
1689061776,2360,2,4
1689061780,1784,2,4
1689061784,1451,2,4
1689061788,2992,2,4
1689061792,1054,2,4
1689061796,657,2,4
1689061800,1340,2,4
1689061804,118,2,4
1689061808,2715,2,4
1689061812,1302,2,4
1689061816,2002,2,4
1689061820,447,2,4
1689061824,160,2,4
1689061828,309,2,4
1689061832,340,2,4
1689061836,1861,2,4
1689061840,599,2,4
1689061844,68,2,4
1689061848,84,2,4
1689061852,61,2,4
1689061856,82,2,4
1689061860,54,2,4
1689061864,75,2,4
1689061868,50,2,4
1689061872,50,2,4
1689061876,44,2,4
1689061880,42,2,4
1689061884,43,2,4
1689061888,60,2,4
1689061892,36,2,4
1689061896,43,2,4
1689061900,49,2,4
1689061904,43,2,4
1689061908,63,2,4
1689061912,50,2,4
1689061916,3078,2,4
1689061920,1154,2,4
1689061924,547,2,4
1689061928,476,2,4
1689061932,413,2,4
1689061936,9193,2,4
1689061940,1017,2,4
1689061944,894,2,4
1689061948,2141,2,4
1689061952,104,2,4
1689061956,85,2,4
1689061960,55,2,4
1689061964,29,2,4
1689061968,30,2,4
1689061972,30,2,4
1689061976,31,2,4
1689061980,30,2,4
1689061984,1475,2,4
1689061988,4741,2,4
1689061992,2347,2,4
1689061996,141,2,4
1689062000,85,2,4
1689062004,78,2,4
1689062008,105,2,4
1689062012,7089,2,4
1689062016,3969,2,4
1689062020,5045,2,4
1689062024,3769,2,4
1689062028,6086,2,4
1689062032,527,2,4
1689062036,170,2,4
1689062040,204,2,4
1689062044,1156,2,4
1689062048,1285,2,4
1689062052,885,2,4
1689062056,404,2,4
1689062060,159,2,4
1689062064,68,2,4
1689062068,97,2,4
1689062072,205,2,4
1689062076,213,2,4
1689062080,172,2,4
1689062084,130,2,4
1689062088,228,2,4
1689062092,87,2,4
1689062096,1753,2,4
1689062100,1151,2,4
1689062104,326,2,4
1689062108,4177,2,4
1689062112,298,2,4
1689062116,2803,2,4
1689062120,614,2,4
