timestamp,value,quality_indicator
1689059980,1,0
1689059989,7,0
1689059995,7,4
1689060041,7,3
1689060043,7,2
1689060050,7,3
1689060052,7,4
1689060079,7,3
1689060081,7,2
1689060082,1,2
1689060084,1,3
1689060089,1,2
1689060593,1,0
1689060598,7,0
1689060608,7,4
1689061441,1,0
1689061446,7,0
1689061456,7,4
1689061695,1,0
1689061700,7,0
1689061710,7,4
1689061755,1,0
1689061770,1,2
1689061771,1,1
1689061772,7,2
1689061774,7,3
1689061778,7,4
1689061785,7,3
1689061787,7,2
1689061794,7,3
1689061796,7,4
1689061813,7,3
1689061815,7,2
1689061816,6,2
1689061818,6,3
1689061820,6,4
1689061823,6,3
1689061825,6,2
1689061827,7,2
1689061828,7,3
1689061830,7,4
1689061833,7,3
1689061842,7,4
1689061935,7,3
1689061937,7,2
1689061939,1,2
1689061946,7,2
1689061947,7,3
1689061949,7,4
1689061988,7,3
1689061990,7,2
1689061991,1,2
1689061998,7,2
1689061999,7,3
1689062001,7,4
1689062012,7,3
1689062014,7,2
1689062015,1,2
1689062017,1,3
1689062020,1,4
1689062021,1,3
1689062023,1,2
1689062036,7,2
1689062037,7,3
1689062039,7,4
1689062047,7,3
1689062050,7,2
1689062056,7,3
1689062059,7,4
1689062108,7,3
1689062111,7,2
1689062117,7,3
1689062120,7,4
1689062130,7,3
1689062140,7,4
1689062146,7,3
1689062148,7,2
1689062149,6,2
1689062151,6,3
1689062158,6,2
1689062160,7,2
1689062161,7,3
1689062169,7,2
1689062175,7,3
1689062181,7,2
1689062183,1,1
1689062184,1,2
1689062186,1,3
1689062192,1,2
1689062194,1,1
1689062195,7,1
1689062196,7,2
1689062198,7,3
1689062202,7,4
1689062226,7,3
1689062228,7,2
1689062229,6,2
1689062232,6,3
1689062235,6,2
1689062237,7,2
1689062238,7,3
1689062240,7,4
1689062256,7,3
1689062258,7,2
1689062259,6,2
1689062265,7,2
1689062270,6,2
1689062279,7,2
1689062280,7,3
1689062285,7,2
1689062288,7,3
1689062297,7,4
1689062362,7,3
1689062364,7,2
1689062372,7,3
1689062374,7,4
1689062382,7,3
1689062393,7,4
1689062404,7,3
1689062406,7,2
1689062407,6,2
1689062410,6,3
1689062414,6,2
1689062416,7,2
1689062417,7,3
1689062420,7,4
1689062450,7,3
1689062452,7,2
1689062453,6,2
1689062458,6,3
1689062463,6,2
1689062468,6,1
1689062469,1,1
1689062471,7,2
1689062474,1,1
1689062476,6,1
1689062477,6,2
1689062479,6,3
1689062483,6,2
1689062485,7,2
1689062486,7,3
1689062488,7,4
1689062492,7,3
1689062495,7,2
1689062496,6,2
1689062501,7,2
1689062502,7,3
1689062505,7,4
1689062527,7,3
1689062529,7,2
1689062530,2,2
1689062537,6,2
1689062540,6,3
1689062544,6,2
1689062546,7,2
1689062547,7,3
1689062550,7,4
1689062580,7,3
1689062582,7,2
1689062583,1,2
1689062585,1,3
1689062589,1,2
1689062591,7,2
1689062592,7,3
1689062594,7,4
1689062599,7,3
1689062601,7,2
1689062602,6,2
1689062609,7,2
1689062610,7,3
1689062612,7,4
1689062636,7,3
1689062638,7,2
1689062639,6,2
1689062646,7,2
1689062647,7,3
1689062649,7,4
1689062721,7,3
1689062723,7,2
1689062724,1,2
1689062730,1,1
1689062731,6,2
1689062733,6,3
1689062745,6,4
1689062749,6,3
1689062751,6,2
1689062753,7,2
1689062754,7,3
1689062759,7,2
1689062760,1,2
1689062762,1,3
1689062764,1,4
1689062766,1,3
1689062768,1,2
1689062770,6,2
1689062772,6,3
1689062774,6,4
1689062775,6,3
1689062779,6,2
1689062781,7,2
1689062785,1,2
1689062787,1,3
1689062798,1,4
1689062812,1,3
1689062814,1,2
1689062816,6,2
1689062822,7,2
1689062823,7,3
1689062825,7,4
1689062926,7,3
1689062928,7,2
1689062935,7,3
1689062937,7,4
1689062976,7,3
1689062978,7,2
1689062980,1,2
1689062982,1,3
1689062984,1,4
1689062999,1,3
1689063001,1,2
1689063003,1,1
1689063004,6,1
1689063006,7,2
1689063008,7,3
1689063010,7,4
1689063051,7,3
1689063053,7,2
1689063054,1,2
1689063056,1,3
1689063060,1,2
1689063062,7,2
1689063063,7,3
1689063065,7,4
1689063071,7,3
1689063074,7,2
1689063076,7,1
1689063077,1,1
1689063081,7,2
1689063084,7,3
1689063086,7,4
1689063112,7,3
1689063119,7,2
1689063120,6,2
1689063124,6,3
1689063126,6,4
1689063129,6,3
1689063131,6,2
1689063133,7,2
1689063134,7,3
1689063136,7,4
1689063142,7,3
1689063147,7,2
1689063148,6,2
1689063150,6,3
1689063152,6,2
1689063158,7,2
1689063159,7,3
1689063161,7,4
1689063208,7,3
1689063211,7,2
1689063212,6,2
1689063218,7,2
1689063220,7,3
1689063223,7,2
1689063224,6,2
1689063228,6,3
1689063232,6,2
1689063234,7,2
1689063235,7,3
1689063239,7,4
1689063251,7,3
1689063253,7,2
1689063254,6,2
1689063256,6,3
1689063258,6,4
1689063266,6,3
1689063268,6,2
1689063270,1,2
1689063272,1,3
1689063274,1,4
1689063294,1,3
1689063304,1,4
1689063310,1,3
1689063312,1,2
1689063314,7,2
1689063315,7,3
1689063317,7,4
1689063323,7,3
1689063325,7,2
1689063332,7,3
1689063334,7,4
1689063341,7,3
1689063344,7,2
1689063346,1,1
1689063347,1,2
1689063350,1,3
1689063352,1,4
1689063354,1,3
1689063356,1,2
1689063358,1,1
1689063359,7,2
1689063361,7,3
1689063365,7,2
1689063367,7,3
1689063370,7,2
1689063372,6,2
1689063376,7,2
1689063379,6,2
1689063390,7,2
1689063391,7,3
1689063393,7,4
1689063398,7,3
1689063400,7,2
1689063401,6,2
1689063403,6,3
1689063405,6,4
1689063408,6,3
1689063410,6,2
1689063412,7,2
1689063413,7,3
1689063415,7,4
1689063420,7,3
1689063422,7,2
1689063423,1,2
1689063425,1,3
1689063427,1,4
1689063444,1,3
1689063446,1,2
1689063448,7,2
1689063453,1,2
1689063455,1,3
1689063457,1,4
1689063465,1,3
1689063467,1,2
1689063469,7,2
1689063470,7,3
1689063472,7,4
1689063477,7,3
1689063479,7,2
1689063480,6,2
1689063482,6,3
1689063489,6,2
1689063491,7,2
1689063492,7,3
1689063496,7,4
1689063541,7,3
1689063543,7,2
1689063544,1,2
1689063550,1,1
1689063551,7,1
1689063552,6,1
1689063553,6,2
1689063555,6,3
1689063560,6,2
1689063562,7,2
1689063563,7,3
1689063565,7,4
1689063581,7,3
1689063583,7,2
1689063584,6,2
1689063586,6,3
1689063591,6,2
1689063593,7,2
1689063594,7,3
1689063596,7,4
1689063625,7,3
1689063627,7,2
1689063629,6,1
1689063630,6,2
1689063632,6,3
1689063635,6,2
1689063639,7,2
1689063640,7,3
1689063642,7,4
1689063647,7,3
1689063649,7,2
1689063650,6,2
1689063652,6,3
1689063656,6,2
1689063662,7,2
1689063668,7,3
1689063670,7,4
1689063690,7,3
1689063692,7,2
1689063693,1,2
1689063695,1,3
1689063708,1,4
1689063716,1,3
1689063718,1,2
1689063720,7,2
1689063721,7,3
1689063733,7,4
1689063788,7,3
1689063790,7,2
1689063795,1,1
1689063797,6,1
1689063804,7,1
1689063805,7,2
1689063807,7,3
1689063809,7,4
1689063842,7,3
1689063844,7,2
1689063851,7,3
1689063853,7,4
1689063859,7,3
1689063861,7,2
1689063862,6,2
1689063864,6,3
1689063866,6,4
1689063868,6,3
1689063870,6,2
1689063872,7,2
1689063873,7,3
1689063875,7,4
1689063913,7,3
1689063915,7,2
1689063922,7,3
1689063924,7,4
1689063930,7,3
1689063932,7,2
1689063934,6,2
1689063941,7,2
1689063942,7,3
1689063944,7,4
1689063949,7,3
1689063955,7,2
1689063957,7,1
1689063963,6,1
1689063965,6,2
1689063967,7,2
1689063970,6,2
1689063975,7,2
1689063979,7,3
1689063981,7,4
1689064011,7,3
1689064013,7,2
1689064020,7,3
1689064022,7,4
1689064043,7,3
1689064045,7,2
1689064046,1,2
1689064053,7,2
1689064054,7,3
1689064056,7,4
1689064069,7,3
1689064071,7,2
1689064072,1,2
1689064074,1,3
1689064076,1,4
1689064080,1,3
1689064082,1,2
1689064088,7,2
1689064094,7,3
1689064096,7,4
1689064109,7,3
1689064111,7,2
1689064113,1,2
1689064115,1,3
1689064120,1,2
1689064122,7,2
1689064123,7,3
1689064125,7,4
1689064131,7,3
1689064134,7,2
1689064137,6,1
1689064139,1,1
1689064140,1,2
1689064146,7,2
1689064147,7,3
1689064149,7,4
1689064240,7,3
1689064242,7,2
1689064252,7,3
1689064254,7,2
1689064255,1,2
1689064257,1,3
1689064265,1,2
1689064267,7,2
1689064268,7,3
1689064270,7,4
1689064295,7,3
1689064297,7,2
1689064298,1,2
1689064304,7,2
1689064305,7,3
1689064308,7,4
1689064313,7,3
1689064315,7,2
1689064316,6,2
1689064319,6,3
1689064321,6,4
1689064323,6,3
1689064325,6,2
1689064327,1,1
1689064330,7,2
1689064332,7,3
1689064334,7,4
1689064350,7,3
1689064352,7,2
1689064353,1,2
1689064355,1,3
1689064360,1,2
1689064362,1,1
1689064363,7,2
1689064365,7,3
1689064369,7,4
1689064425,7,3
1689064427,7,2
1689064434,7,3
1689064436,7,4
1689064477,7,3
1689064479,7,2
1689064487,7,3
1689064489,7,4
1689064491,7,3
1689064495,7,2
1689064501,7,3
1689064504,7,2
1689064507,1,2
1689064509,1,3
1689064514,1,2
1689064516,7,2
1689064519,7,3
1689064525,7,2
1689064526,6,2
1689064534,7,2
1689064535,7,3
1689064537,7,4
1689064544,7,3
1689064546,7,2
1689064547,1,2
1689064549,1,3
1689064553,1,2
1689064555,7,2
1689064556,7,3
1689064558,7,4
1689064592,7,3
1689064594,7,4
1689064621,7,3
1689064623,7,2
1689064630,7,3
1689064632,7,4
1689064660,7,3
1689064670,7,4
1689064710,7,3
1689064720,7,4
1689064760,7,3
1689064762,7,2
1689064769,7,3
1689064774,7,2
1689064775,6,2
1689064777,6,3
1689064779,6,4
1689064792,6,3
1689064794,6,2
1689064796,7,2
1689064797,7,3
1689064799,7,4
1689064841,7,3
1689064843,7,2
1689064844,6,2
1689064850,7,2
1689064851,7,3
1689064853,7,4
1689064872,7,3
1689064874,7,2
1689064875,1,2
1689064877,1,3
1689064881,1,2
1689064883,7,2
1689064884,7,3
1689064886,7,4
1689064901,7,3
1689064913,7,2
1689064914,6,2
1689064918,6,3
1689064924,6,2
1689064929,7,2
1689064932,7,3
1689064936,7,4
1689064950,7,3
1689064956,7,2
1689064957,6,2
1689064961,6,3
1689064963,6,4
1689064974,6,3
1689064976,6,2
1689064978,1,1
1689064981,7,2
1689064987,6,2
1689064993,7,2
1689064994,7,3
1689064998,7,2
1689065001,6,2
1689065003,6,3
1689065012,6,2
1689065014,7,2
1689065015,7,3
1689065017,7,4
1689065032,7,3
1689065034,7,2
1689065035,6,2
1689065038,7,2
1689065042,7,3
1689065044,7,4
1689065084,7,3
1689065086,7,2
1689065087,2,2
1689065094,7,2
1689065095,7,3
1689065097,7,4
1689065123,7,3
1689065126,7,2
1689065128,1,1
1689065129,1,2
1689065135,7,2
1689065136,7,3
1689065141,7,2
1689065149,7,3
1689065151,7,4
1689065191,7,3
1689065201,7,4
1689065214,7,3
1689065216,7,2
1689065219,6,1
1689065221,1,1
1689065222,1,2
1689065228,7,2
1689065231,7,3
1689065237,7,2
1689065240,6,2
1689065242,6,3
1689065245,6,4
