timestamp,value,quality_indicator
1689059989,71,1
1689059999,82,1
1689060009,48,2
1689060019,45,3
1689060029,47,2
1689060039,51,1
1689060049,55,0
1689060059,58,1
1689060069,59,1
1689060079,74,0
1689060089,86,1
1689060602,89,0
1689060612,89,0
1689061446,0,0
1689061456,89,1
1689061696,0,0
1689061706,71,0
1689061716,71,0
1689061762,80,0
1689061772,70,1
1689061782,71,0
1689061792,78,1
1689061802,80,1
1689061812,82,1
1689061822,87,2
1689061832,55,2
1689061842,54,2
1689061852,53,3
1689061862,48,4
1689061872,45,4
1689061882,44,4
1689061892,46,4
1689061902,48,4
1689061912,48,4
1689061922,49,4
1689061932,46,2
1689061942,48,1
1689061952,56,1
1689061962,50,2
1689061972,50,4
1689061982,49,4
1689061992,61,4
1689062002,55,2
1689062012,51,3
1689062022,58,3
1689062032,62,1
1689062042,59,1
1689062052,55,1
1689062062,67,1
1689062072,45,1
1689062082,43,2
1689062092,43,3
1689062102,43,3
1689062112,47,2
1689062122,47,1
1689062132,54,1
1689062142,59,1
1689062152,66,2
1689062162,71,1
1689062172,75,1
1689062182,79,1
1689062192,83,1
1689062202,87,1
1689062212,75,1
1689062222,42,2
1689062232,50,3
1689062242,43,3
1689062252,44,4
1689062262,59,4
1689062272,67,2
1689062282,57,1
1689062292,59,1
1689062302,69,1
1689062312,48,1
1689062322,49,4
1689062332,49,4
1689062342,54,3
1689062352,49,2
1689062362,57,2
1689062372,54,2
1689062382,60,2
1689062392,66,1
1689062402,57,1
1689062412,51,1
1689062422,47,1
1689062432,55,1
1689062442,53,1
1689062452,47,1
1689062462,51,2
1689062472,49,1
1689062482,47,2
1689062492,56,1
1689062502,66,1
1689062512,58,1
1689062522,56,2
1689062532,60,2
1689062542,77,1
1689062552,74,1
1689062562,59,1
1689062572,55,1
1689062582,56,1
1689062592,55,1
1689062602,52,1
1689062612,59,1
1689062622,59,1
1689062632,67,1
1689062642,77,2
1689062652,67,1
1689062662,64,1
1689062672,60,1
1689062682,62,1
1689062692,64,1
1689062702,64,1
1689062712,69,1
1689062722,57,1
1689062732,57,1
1689062742,70,1
1689062752,75,1
1689062762,82,1
1689062772,93,1
1689062782,91,1
1689062792,96,1
1689062802,95,1
1689062812,98,1
1689062822,96,1
1689062832,93,1
1689062842,57,1
1689062852,47,2
1689062862,52,2
1689062872,46,2
1689062882,46,4
1689062892,49,4
1689062902,50,3
1689062912,47,3
1689062922,52,3
1689062932,47,3
1689062942,52,4
1689062952,53,4
1689062962,46,3
1689062972,45,4
1689062982,48,3
1689062992,58,1
1689063002,55,1
1689063012,48,2
1689063022,45,4
1689063032,40,4
1689063042,39,4
1689063052,43,3
1689063062,52,1
1689063072,57,1
1689063082,57,1
1689063092,59,1
1689063102,57,0
1689063112,64,1
1689063122,68,1
1689063132,74,1
1689063142,76,1
1689063152,86,2
1689063162,86,1
1689063172,59,1
1689063182,44,2
1689063192,63,2
1689063202,71,1
1689063212,76,2
1689063222,82,1
1689063232,87,2
1689063242,87,1
1689063252,78,1
1689063262,71,1
1689063272,75,1
1689063282,81,1
1689063292,83,1
1689063302,82,1
1689063312,91,1
1689063322,92,1
1689063332,96,1
1689063342,74,1
1689063352,79,1
1689063362,80,1
1689063372,87,1
1689063382,50,3
1689063392,48,1
1689063402,48,2
1689063412,48,1
1689063422,49,1
1689063432,61,1
1689063442,68,1
1689063452,72,1
1689063462,72,1
1689063472,55,1
1689063482,52,3
1689063492,55,1
1689063502,55,1
1689063512,45,2
1689063522,46,3
1689063532,47,4
1689063542,46,4
1689063552,49,2
1689063562,53,1
1689063572,53,1
1689063582,63,1
1689063592,66,2
1689063602,79,1
1689063612,83,1
1689063622,84,1
1689063632,89,1
1689063642,98,1
1689063652,100,1
1689063662,101,1
1689063672,96,1
1689063682,79,1
1689063692,78,1
1689063702,80,1
1689063712,83,1
1689063722,74,1
1689063732,57,1
1689063742,56,1
1689063752,48,2
1689063762,49,3
