timestamp,value,quality_indicator
1689059980,0.0,0
1689061884,19.75,1
1689061886,19.5,1
1689061888,19.25,1
1689061889,18.75,2
1689061890,18.25,2
1689061891,17.0,3
1689061892,15.0,4
1689061893,14.0,4
1689061894,13.5,4
1689061895,13.25,4
1689061897,13.0,4
1689061899,12.75,4
1689061900,12.5,4
1689061902,12.25,4
1689061904,12.25,3
1689061905,12.25,2
1689061907,12.0,1
1689061914,12.25,1
1689061915,12.75,2
1689061916,13.25,2
1689061917,13.75,2
1689061918,14.25,2
1689061919,14.5,1
1689061923,14.5,2
1689061924,14.25,2
1689061925,0.0,0
1689061985,13.0,3
1689061986,13.0,2
1689061987,0.0,0
1689062241,13.0,3
1689062242,12.75,3
1689062244,12.5,3
1689062245,12.5,4
1689062246,0.0,0
1689062331,12.5,2
1689062332,12.75,2
1689062333,13.0,2
1689062334,13.25,2
1689062335,13.5,2
1689062336,13.75,2
1689062337,13.75,1
1689062343,0.0,0
1689063029,14.75,2
1689063030,14.5,2
1689063031,14.0,3
1689063032,13.5,3
1689063033,13.0,4
1689063034,12.75,4
1689063035,12.5,4
1689063036,12.25,4
1689063040,12.5,4
1689063042,12.75,4
1689063044,13.0,4
1689063046,0.0,0
1689063531,13.0,4
1689063532,12.75,4
1689063533,12.75,3
1689063534,12.5,3
1689063535,12.25,3
1689063536,12.25,2
1689063537,11.75,3
1689063538,11.5,3
1689063539,11.0,4
1689063540,10.75,4
1689063545,11.0,4
1689063548,11.25,4
1689063550,0.0,0
1689063833,12.0,4
1689063834,12.25,4
1689063835,12.5,4
1689063837,12.75,4
1689063839,13.0,4
1689063840,13.25,4
1689063841,13.5,4
1689063842,13.75,4
1689063843,14.0,3
1689063844,14.25,3
1689063845,14.75,3
1689063846,15.25,3
1689063847,15.75,3
1689063848,16.0,3
1689063849,16.25,3
1689063850,16.5,3
1689063851,0.0,0
1689064218,17.0,1
1689064219,16.75,1
1689064221,15.5,3
1689064222,14.5,3
1689064223,13.25,4
1689064224,12.5,4
1689064225,12.25,4
1689064226,12.0,4
1689064229,12.0,3
1689064231,0.0,0
1689064658,11.5,3
1689064659,11.25,3
1689064660,11.25,2
1689064662,11.25,1
1689064668,0.0,0
1689065123,12.25,1
1689065126,12.0,1
1689065127,12.0,2
1689065128,11.75,2
1689065129,11.5,3
1689065131,11.5,2
1689065133,11.75,2
1689065134,0.0,0
1689065424,12.0,3
1689065425,11.5,4
1689065429,11.25,4
1689065431,11.0,4
1689065432,10.75,4
1689065434,10.5,4
1689065435,0.0,0
1689065995,10.25,4
1689065996,10.25,3
1689065997,10.25,2
1689065999,10.25,1
1689066000,0.0,0
1689066154,15.0,3
1689066155,14.75,3
1689066156,14.5,3
1689066157,14.5,1
1689066158,13.5,4
1689066159,13.0,4
1689066172,13.25,4
1689066177,13.0,4
1689066180,12.75,4
1689066181,12.75,3
1689066183,12.5,3
1689066185,12.25,3
1689066187,11.75,4
1689066188,11.5,4
1689066189,11.25,4
1689066190,11.0,4
1689066195,11.25,4
1689066196,11.5,4
1689066198,11.75,4
1689066199,12.0,4
1689066200,12.25,4
1689066201,12.5,4
1689066202,12.75,4
1689066205,12.5,4
1689066206,12.25,4
1689066207,12.0,3
1689066209,11.75,2
1689066217,12.0,2
1689066219,12.25,3
1689066220,12.5,3
1689066221,12.5,4
1689066222,12.75,4
1689066223,12.5,4
1689066227,12.25,4
1689066235,12.0,4
1689066240,0.0,0
1689066592,11.75,4
1689066593,11.5,4
1689066598,11.75,4
1689066600,12.0,4
1689066603,12.25,4
1689066616,12.0,4
1689066618,11.5,4
1689066620,11.25,4
1689066621,0.0,0
1689066985,12.25,4
1689066986,13.0,4
1689066987,13.75,4
1689066988,14.25,4
1689066989,14.5,4
1689066990,14.75,4
1689066991,15.0,4
1689066997,15.0,3
1689066998,14.75,3
1689066999,14.75,2
1689067001,14.5,2
1689067004,14.25,2
1689067009,14.0,1
1689067010,13.0,3
1689067011,12.0,3
1689067012,11.5,3
1689067013,11.0,3
1689067014,10.75,3
1689067015,11.0,3
1689067016,11.25,3
1689067017,11.5,4
1689067020,11.75,4
1689067024,12.0,4
1689067025,12.0,3
1689067028,12.0,4
1689067030,12.0,3
1689067031,12.25,3
1689067032,12.25,2
1689067034,12.5,2
1689067036,12.5,1
1689067039,0.0,0
1689067168,14.0,1
1689067169,14.0,2
1689067170,13.5,3
1689067171,13.0,3
1689067172,12.5,4
1689067173,12.0,4
1689067177,12.25,4
1689067179,12.5,4
1689067180,12.75,4
1689067181,13.0,4
1689067182,0.0,0
1689067321,11.75,4
1689067322,11.0,4
1689067323,10.75,3
1689067324,10.25,3
1689067325,9.75,4
1689067326,9.25,4
1689067327,9.0,4
1689067329,8.75,4
1689067330,8.5,4
1689067331,8.5,3
1689067332,8.75,4
1689067334,9.0,4
1689067335,9.25,4
1689067336,9.5,3
1689067337,9.5,2
1689067338,9.75,1
1689067339,10.0,2
1689067340,10.75,3
1689067341,11.25,3
1689067342,11.75,3
1689067343,12.25,3
1689067344,12.5,3
1689067345,12.75,3
1689067346,13.0,3
1689067347,13.25,3
1689067349,13.5,4
1689067353,0.0,0
1689067379,13.0,3
1689067380,12.0,4
1689067381,11.75,4
1689067382,11.5,4
1689067383,11.25,4
1689067387,11.5,4
1689067388,11.5,3
1689067390,11.5,2
1689067391,11.75,2
1689067396,11.75,3
1689067398,11.5,4
1689067400,11.25,4
1689067404,11.0,4
1689067414,11.25,4
1689067418,11.5,4
1689067422,11.75,4
1689067429,11.5,4
1689067432,11.25,4
1689067433,11.0,4
1689067434,10.75,4
1689067436,10.5,4
1689067438,10.5,3
1689067441,10.5,2
1689067442,10.5,3
1689067443,10.75,3
1689067445,11.0,3
1689067449,0.0,0
1689068641,11.0,4
1689068642,10.75,4
1689068646,11.0,4
1689068647,11.0,3
1689068649,11.0,2
1689068654,11.25,2
1689068658,0.0,0
1689068904,11.5,2
1689068905,11.25,2
1689068906,11.5,1
1689068908,11.25,2
1689068909,10.75,3
1689068910,10.25,3
1689068911,9.75,4
1689068912,9.5,4
1689068915,9.75,4
1689068916,10.0,4
1689068917,10.25,4
1689068918,10.5,4
1689068919,10.75,4
1689068922,0.0,0
1689069428,11.0,4
1689069434,11.0,3
1689069436,0.0,0
1689069468,11.5,3
1689069471,11.25,3
1689069472,11.25,4
1689069473,11.0,4
1689069479,10.75,4
1689069482,10.5,4
1689069485,10.25,4
1689069487,10.5,4
1689069490,10.75,4
1689069491,11.0,4
1689069492,11.25,4
1689069494,11.5,4
1689069495,11.75,4
1689069497,12.0,4
1689069498,11.75,4
1689069501,11.5,4
1689069504,11.25,4
1689069509,11.0,4
1689069511,10.75,4
1689069512,10.5,4
1689069514,10.25,4
1689069515,10.0,4
1689069516,9.75,4
1689069518,9.5,4
1689069520,9.25,4
1689069522,0.0,0
1689069588,11.0,4
1689069589,12.0,4
1689069590,12.5,4
1689069591,12.75,4
1689069592,0.0,0
1689069606,13.5,2
1689069607,14.0,2
1689069608,14.25,2
1689069609,14.75,2
1689069610,14.75,1
1689069612,15.0,1
1689069618,15.25,1
1689069624,15.0,1
1689069625,15.25,1
1689069626,15.25,2
1689069627,0.0,0
1689069740,16.25,1
1689069741,15.75,2
1689069742,15.5,2
1689069743,15.25,2
1689069744,15.0,2
1689069746,14.75,2
1689069748,14.5,2
1689069751,14.25,3
1689069752,14.25,2
1689069756,14.0,1
1689069757,10.25,4
1689069758,8.25,4
1689069759,7.25,4
1689069760,0.0,0
1689069824,8.25,4
1689069825,9.0,3
1689069826,9.25,2
1689069828,9.5,2
1689069829,9.75,2
1689069830,10.0,2
1689069832,10.25,2
1689069841,10.25,3
1689069842,0.0,0
1689069873,10.75,2
1689069874,11.75,3
1689069875,13.25,4
1689069876,14.0,4
1689069877,14.25,4
1689069878,14.5,4
1689069879,14.75,4
1689069880,15.25,4
1689069881,15.5,4
1689069882,16.0,4
1689069883,16.25,4
1689069884,16.5,4
1689069885,16.75,4
1689069886,17.0,4
1689069889,17.0,3
1689069891,17.0,2
1689069892,16.75,1
1689069893,12.25,4
1689069894,10.0,4
1689069895,8.75,4
1689069896,8.5,4
1689069897,8.25,4
1689069898,8.5,4
1689069900,8.75,4
1689069901,9.0,4
1689069903,9.25,4
1689069904,9.5,3
1689069905,0.0,0
1689070198,9.75,1
1689070201,11.5,4
1689070202,12.25,4
1689070203,12.75,4
1689070214,0.0,0
1689070218,13.0,4
1689070220,12.75,4
1689070221,12.5,4
1689070222,12.25,4
1689070223,12.25,3
1689070225,12.25,2
1689070230,12.25,1
1689070236,12.5,2
1689070238,12.75,2
1689070240,13.0,2
1689070241,13.0,3
1689070242,13.25,3
1689070245,13.5,2
1689070247,0.0,0
1689070349,15.5,1
1689070350,15.75,1
1689070354,16.0,1
1689070358,16.25,1
1689070359,16.0,1
