timestamp,value,quality_indicator
1689059989,0,4
1689059999,0,4
1689060009,0,4
1689060019,0,4
1689060029,0,4
1689060039,0,4
1689060049,0,4
1689060059,0,4
1689060069,0,4
1689060079,0,4
1689060089,0,4
1689060602,0,4
1689060612,0,4
1689061446,0,4
1689061456,0,4
1689061696,0,4
1689061706,0,4
1689061716,0,4
1689061762,0,4
1689061772,0,4
1689061782,0,4
1689061792,0,4
1689061802,66,4
1689061812,168,4
1689061822,399,4
1689061832,399,4
1689061842,496,4
1689061852,496,4
1689061862,490,4
1689061872,430,4
1689061882,380,4
1689061892,333,4
1689061902,293,4
1689061912,255,4
1689061922,225,4
1689061932,195,4
1689061942,168,4
1689061952,148,4
1689061962,128,4
1689061972,108,4
1689061982,88,4
1689061992,77,4
1689062002,67,4
1689062012,57,4
1689062022,47,4
1689062032,37,4
1689062042,27,4
1689062052,17,4
1689062062,7,4
1689062072,0,4
1689062082,0,4
1689062092,0,4
1689062102,11,4
1689062112,11,4
1689062122,11,4
1689062132,11,4
1689062142,11,4
1689062152,11,4
1689062162,10,4
1689062172,0,4
1689062182,0,4
1689062192,0,4
1689062202,7,4
1689062212,41,4
1689062222,41,4
1689062232,74,4
1689062242,99,4
1689062252,99,4
1689062262,97,4
1689062272,90,4
1689062282,81,4
1689062292,80,4
1689062302,70,4
1689062312,60,4
1689062322,50,4
1689062332,40,4
1689062342,30,4
1689062352,20,4
1689062362,10,4
1689062372,44,4
1689062382,44,4
1689062392,44,4
1689062402,87,4
1689062412,87,4
1689062422,87,4
1689062432,86,4
1689062442,76,4
1689062452,66,4
1689062462,56,4
1689062472,46,4
1689062482,67,4
1689062492,67,4
1689062502,67,4
1689062512,75,4
1689062522,75,4
1689062532,74,4
1689062542,64,4
1689062552,54,4
1689062562,44,4
1689062572,34,4
1689062582,24,4
1689062592,14,4
1689062602,4,4
1689062612,0,4
1689062622,23,4
1689062632,23,4
1689062642,23,4
1689062652,23,4
1689062662,46,4
1689062672,62,4
1689062682,61,4
1689062692,51,4
1689062702,41,4
1689062712,38,4
1689062722,59,4
1689062732,66,4
1689062742,100,4
1689062752,100,4
1689062762,100,4
1689062772,100,4
1689062782,98,4
